"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Solomon Islands","Angola","2015.0","Import","1.0","0.04","1.82","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solomon Islands","United Arab Emirates","2015.0","Import","14.0","0.51","219.27","0.05","8.0","8.2","15.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","219.27","0.0","8.0","8.2","15.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","219.27","0.0",""
"Solomon Islands","Argentina","2015.0","Import","1.0","0.04","37.49","0.01","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","37.49","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","37.49","0.0",""
"Solomon Islands","American Samoa","2015.0","Import","2.0","0.07","0.73","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.03","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.03","0.0",""
"Solomon Islands","Antarctica","2015.0","Import","3.0","0.11","116.75","0.03","10.0","10.0","3.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","116.75","0.0","10.0","10.0","3.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","116.75","0.0",""
"Solomon Islands","Antigua and Barbuda","2015.0","Import","1.0","0.04","20.91","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","20.91","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","20.91","0.0",""
"Solomon Islands","Australia","2015.0","Import","1915.0","69.43","134501.4","28.87","11.55","81.95","2133.0","95.31","1.08","0.7","2.91","1452.29","0.0","2713.44","74462.73","43268.41","11.55","81.95","2133.0","95.31","1.08","0.7","2.91","1452.29","0.0","2713.44","74462.73","43268.41",""
"Solomon Islands","Austria","2015.0","Import","7.0","0.25","20.4","0.0","146.92","103.15","12.0","33.33","0.0","0.0","66.67","1301.88","10.0","0.0","19.85","0.0","146.92","103.15","12.0","33.33","0.0","0.0","66.67","1301.88","10.0","0.0","19.85","0.0",""
"Solomon Islands","Belgium","2015.0","Import","4.0","0.14","28.06","0.01","10.0","10.0","3.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.17","0.0","10.0","10.0","3.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.17","0.0",""
"Solomon Islands","Bangladesh","2015.0","Import","2.0","0.07","190.44","0.04","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","114.9","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","114.9","0.0",""
