"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Sierra Leone","Albania","2015.0","Import","1.0","0.07","80.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","United Arab Emirates","2015.0","Import","704.0","46.93","220297.24","12.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Argentina","2015.0","Import","4.0","0.27","183.19","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Australia","2015.0","Import","22.0","1.47","697.16","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Belgium","2015.0","Import","335.0","22.33","53806.12","3.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Benin","2015.0","Import","1.0","0.07","51271.52","2.91","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Bangladesh","2015.0","Import","10.0","0.67","2057.06","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Bulgaria","2015.0","Import","2.0","0.13","61.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Bahrain","2015.0","Import","1.0","0.07","107.59","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Brazil","2015.0","Import","25.0","1.67","16782.03","0.95","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Canada","2015.0","Import","25.0","1.67","4055.49","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Switzerland","2015.0","Import","5.0","0.33","451.97","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Chile","2015.0","Import","2.0","0.13","89.39","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","China","2015.0","Import","767.0","51.13","203132.72","11.55","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Cote d'Ivoire","2015.0","Import","31.0","2.07","28008.03","1.59","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Czech Republic","2015.0","Import","2.0","0.13","53.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Germany","2015.0","Import","200.0","13.33","13103.02","0.74","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Denmark","2015.0","Import","68.0","4.53","14690.79","0.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Algeria","2015.0","Import","4.0","0.27","716.96","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","East Asia & Pacific","2015.0","Import","836.0","55.73","288650.51","16.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Europe & Central Asia","2015.0","Import","905.0","60.33","511647.74","29.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Egypt, Arab Rep.","2015.0","Import","12.0","0.8","843.83","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Spain","2015.0","Import","61.0","4.07","7139.55","0.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","France","2015.0","Import","258.0","17.2","46913.42","2.67","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Gabon","2015.0","Import","13.0","0.87","119.6","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","United Kingdom","2015.0","Import","558.0","37.2","259802.01","14.77","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Ghana","2015.0","Import","100.0","6.67","9108.91","0.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Gibraltar","2015.0","Import","1.0","0.07","103.09","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Gambia, The","2015.0","Import","8.0","0.53","201.51","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Greece","2015.0","Import","10.0","0.67","408.58","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Guatemala","2015.0","Import","4.0","0.27","238.22","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Hong Kong, China","2015.0","Import","142.0","9.47","15958.98","0.91","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Indonesia","2015.0","Import","25.0","1.67","2320.91","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","India","2015.0","Import","273.0","18.2","46137.35","2.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Ireland","2015.0","Import","2.0","0.13","157.17","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Iran, Islamic Rep.","2015.0","Import","1.0","0.07","5.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Israel","2015.0","Import","4.0","0.27","260.78","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Italy","2015.0","Import","44.0","2.93","15821.66","0.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Jordan","2015.0","Import","3.0","0.2","121.32","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Japan","2015.0","Import","41.0","2.73","39905.99","2.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Kenya","2015.0","Import","7.0","0.47","2139.66","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Korea, Rep.","2015.0","Import","56.0","3.73","3802.7","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Kuwait","2015.0","Import","5.0","0.33","48.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Lebanon","2015.0","Import","507.0","33.8","81476.49","4.63","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Liberia","2015.0","Import","1.0","0.07","183.9","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Latin America & Caribbean","2015.0","Import","34.0","2.27","17432.53","0.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Sri Lanka","2015.0","Import","12.0","0.8","1709.97","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Lithuania","2015.0","Import","1.0","0.07","32.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Latvia","2015.0","Import","2.0","0.13","103.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Morocco","2015.0","Import","5.0","0.33","2564.55","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Middle East & North Africa","2015.0","Import","884.0","58.93","313169.07","17.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Malta","2015.0","Import","5.0","0.33","123.7","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Mauritania","2015.0","Import","3.0","0.2","330.9","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
