"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"El Salvador","Aruba","2015.0","Import","6.0","0.15","1048.35","0.01","3.6","0.0","9.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","0.64","1046.43","3.6","0.0","9.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","0.64","1046.43",""
"El Salvador","Afghanistan","2015.0","Import","14.0","0.35","21.08","0.0","13.47","14.6","33.0","90.91","9.09","0.0","0.0","15.0","0.0","0.0","20.88","0.2","13.47","14.6","33.0","90.91","9.09","0.0","0.0","15.0","0.0","0.0","20.88","0.2",""
"El Salvador","Angola","2015.0","Import","1.0","0.03","5.85","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","5.85","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","5.85",""
"El Salvador","Andorra","2015.0","Import","25.0","0.63","161.78","0.0","7.28","25.14","71.0","64.79","35.21","0.0","0.0","40.0","0.0","0.0","151.68","10.1","7.28","25.14","71.0","64.79","35.21","0.0","0.0","40.0","0.0","0.0","151.68","10.1",""
"El Salvador","United Arab Emirates","2015.0","Import","77.0","1.93","12393.96","0.12","7.14","0.8","175.0","57.14","42.86","0.0","0.0","20.0","0.0","0.0","2203.54","10190.41","7.14","0.8","175.0","57.14","42.86","0.0","0.0","20.0","0.0","0.0","2203.54","10190.41",""
"El Salvador","Argentina","2015.0","Import","454.0","11.41","25236.68","0.24","6.18","5.95","825.0","57.58","42.42","0.0","0.0","40.0","0.0","0.0","21530.66","3706.02","6.18","5.95","825.0","57.58","42.42","0.0","0.0","40.0","0.0","0.0","21530.66","3706.02",""
"El Salvador","Australia","2015.0","Import","256.0","6.43","25155.92","0.24","7.68","9.35","424.0","58.49","41.51","0.0","0.0","40.0","0.0","0.0","15527.67","9626.48","7.68","9.35","424.0","58.49","41.51","0.0","0.0","40.0","0.0","0.0","15527.67","9626.48",""
"El Salvador","Austria","2015.0","Import","410.0","10.3","10377.51","0.1","3.29","2.8","752.0","50.4","49.6","0.0","0.0","20.0","0.0","0.0","4276.31","6101.19","4.82","3.52","752.0","51.06","48.94","0.0","0.0","20.0","0.0","0.0","4279.42","6098.08","1.0"
"El Salvador","Belgium","2015.0","Import","442.0","11.11","16500.5","0.16","3.24","2.79","780.0","50.51","49.49","0.0","0.0","40.0","0.0","0.0","8670.25","7830.25","4.78","4.49","780.0","51.67","48.33","0.0","0.0","40.0","0.0","0.0","9022.06","7478.44","1.0"
"El Salvador","Burkina Faso","2015.0","Import","1.0","0.03","0.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
