"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Sao Tome and Principe","Angola","2015.0","Import","379.0","14.89","29835.01","21.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","United Arab Emirates","2015.0","Import","375.0","14.73","1432.86","1.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Belgium","2015.0","Import","165.0","6.48","1689.28","1.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Bangladesh","2015.0","Import","1.0","0.04","5.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Bulgaria","2015.0","Import","9.0","0.35","13.98","0.01","9.17","9.43","6.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","12.09","0.0","9.17","9.43","6.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","12.09","0.0",""
"Sao Tome and Principe","Brazil","2015.0","Import","31.0","1.22","651.89","0.46","8.98","7.79","58.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","881.96","0.0","8.98","7.79","58.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","881.96","0.0",""
"Sao Tome and Principe","Canada","2015.0","Import","1.0","0.04","2.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Switzerland","2015.0","Import","11.0","0.43","52.88","0.04","9.06","9.89","17.0","94.12","0.0","5.88","0.0","10.0","5.0","1.84","232.76","0.0","9.06","9.89","17.0","94.12","0.0","5.88","0.0","10.0","5.0","1.84","232.76","0.0",""
"Sao Tome and Principe","China","2015.0","Import","564.0","22.15","4578.33","3.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Cameroon","2015.0","Import","39.0","1.53","17.14","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Cape Verde","2015.0","Import","60.0","2.36","51.49","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Curaçao","2015.0","Import","1.0","0.04","0.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Czech Republic","2015.0","Import","1.0","0.04","0.13","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.18","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.18","0.0",""
"Sao Tome and Principe","Germany","2015.0","Import","82.0","3.22","560.52","0.4","10.0","9.77","43.0","97.67","0.0","2.33","0.0","20.0","5.0","1.97","549.81","0.0","10.0","9.77","43.0","97.67","0.0","2.33","0.0","20.0","5.0","1.97","549.81","0.0",""
"Sao Tome and Principe","Denmark","2015.0","Import","16.0","0.63","373.93","0.26","9.38","8.01","13.0","92.31","7.69","0.0","0.0","20.0","0.0","0.0","306.46","0.0","9.38","8.01","13.0","92.31","7.69","0.0","0.0","20.0","0.0","0.0","306.46","0.0",""
"Sao Tome and Principe","Algeria","2015.0","Import","2.0","0.08","0.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","East Asia & Pacific","2015.0","Import","588.0","23.1","11026.58","7.77","10.0","7.92","26.0","96.15","3.85","0.0","0.0","20.0","0.0","0.0","3288.52","103.25","10.0","7.92","26.0","96.15","3.85","0.0","0.0","20.0","0.0","0.0","3288.52","103.25",""
"Sao Tome and Principe","Europe & Central Asia","2015.0","Import","2450.0","96.23","91351.75","64.4","9.88","9.16","2460.0","98.5","1.02","0.49","0.0","20.0","0.0","215.17","64559.59","3257.09","9.84","9.16","2250.0","98.49","1.07","0.41","0.0","20.0","0.0","215.17","64559.59","3257.09",""
"Sao Tome and Principe","Ecuador","2015.0","Import","1.0","0.04","0.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","Spain","2015.0","Import","102.0","4.01","2901.91","2.05","10.95","9.46","72.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","1687.51","0.0","10.95","9.46","72.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","1687.51","0.0",""
"Sao Tome and Principe","Ethiopia(excludes Eritrea)","2015.0","Import","1.0","0.04","51.62","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
