"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Slovak Republic","Aruba","2015.0","Import","6.0","0.14","0.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Afghanistan","2015.0","Import","5.0","0.11","6.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Angola","2015.0","Import","2.0","0.04","9.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Anguila","2015.0","Import","2.0","0.04","54.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Albania","2015.0","Import","83.0","1.87","3453.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Andorra","2015.0","Import","44.0","0.99","736.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","United Arab Emirates","2015.0","Import","180.0","4.05","11739.9","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Argentina","2015.0","Import","131.0","2.95","13080.3","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Armenia","2015.0","Import","23.0","0.52","855.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","American Samoa","2015.0","Import","21.0","0.47","402.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Fr. So. Ant. Tr","2015.0","Import","2.0","0.04","0.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Antigua and Barbuda","2015.0","Import","1.0","0.02","8.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Australia","2015.0","Import","366.0","8.24","55110.76","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Austria","2015.0","Import","2867.0","64.53","1977295.15","2.71","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Azerbaijan","2015.0","Import","24.0","0.54","1360.71","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Burundi","2015.0","Import","2.0","0.04","3.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Belgium","2015.0","Import","1989.0","44.77","809672.16","1.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Burkina Faso","2015.0","Import","9.0","0.2","415.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Bangladesh","2015.0","Import","275.0","6.19","228607.8","0.31","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak Republic","Bulgaria","2015.0","Import","698.0","15.71","146743.94","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
