"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Slovenia","Aruba","2015.0","Import","11.0","0.25","107.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Afghanistan","2015.0","Import","16.0","0.37","31.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Angola","2015.0","Import","5.0","0.11","18.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Anguila","2015.0","Import","2.0","0.05","3.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Albania","2015.0","Import","151.0","3.47","2303.0","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Andorra","2015.0","Import","22.0","0.5","31.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","United Arab Emirates","2015.0","Import","182.0","4.18","5736.59","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Argentina","2015.0","Import","226.0","5.19","91681.68","0.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Armenia","2015.0","Import","23.0","0.53","1697.61","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","American Samoa","2015.0","Import","9.0","0.21","1.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Antarctica","2015.0","Import","2.0","0.05","0.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Fr. So. Ant. Tr","2015.0","Import","2.0","0.05","0.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Antigua and Barbuda","2015.0","Import","16.0","0.37","9.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Australia","2015.0","Import","487.0","11.18","23091.77","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Austria","2015.0","Import","3200.0","73.44","2225269.96","8.6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Azerbaijan","2015.0","Import","13.0","0.3","892.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Burundi","2015.0","Import","3.0","0.07","0.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Belgium","2015.0","Import","2047.0","46.98","392551.8","1.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Benin","2015.0","Import","4.0","0.09","110.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Burkina Faso","2015.0","Import","7.0","0.16","190.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bangladesh","2015.0","Import","293.0","6.72","90170.86","0.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bulgaria","2015.0","Import","889.0","20.4","106462.45","0.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bahrain","2015.0","Import","12.0","0.28","275.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bahamas, The","2015.0","Import","5.0","0.11","165.82","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bosnia and Herzegovina","2015.0","Import","1175.0","26.97","455890.32","1.76","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Saint Barthélemy","2015.0","Import","12.0","0.28","5.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Belarus","2015.0","Import","110.0","2.52","10509.89","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Belize","2015.0","Import","13.0","0.3","189.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bermuda","2015.0","Import","2.0","0.05","2.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bolivia","2015.0","Import","25.0","0.57","658.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Brazil","2015.0","Import","508.0","11.66","215107.12","0.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Barbados","2015.0","Import","10.0","0.23","26.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Brunei","2015.0","Import","14.0","0.32","2.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bhutan","2015.0","Import","1.0","0.02","182.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Bunkers","2015.0","Import","1.0","0.02","0.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Botswana","2015.0","Import","2.0","0.05","27.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Central African Republic","2015.0","Import","9.0","0.21","35.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Canada","2015.0","Import","866.0","19.88","56032.43","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Cocos (Keeling) Islands","2015.0","Import","4.0","0.09","2.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Switzerland","2015.0","Import","1853.0","42.53","498359.83","1.93","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Chile","2015.0","Import","125.0","2.87","19298.52","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","China","2015.0","Import","2909.0","66.77","1669105.18","6.45","","","","","","","","","","","","","","","","","","","","","","","","",""
