"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Sweden","Aruba","2015.0","Import","6.0","0.13","3.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Afghanistan","2015.0","Import","24.0","0.54","106.72","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Angola","2015.0","Import","34.0","0.76","1222.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Albania","2015.0","Import","49.0","1.09","1006.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Andorra","2015.0","Import","10.0","0.22","45.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","United Arab Emirates","2015.0","Import","954.0","21.28","62874.82","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Argentina","2015.0","Import","234.0","5.22","70952.65","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Armenia","2015.0","Import","18.0","0.4","486.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Fr. So. Ant. Tr","2015.0","Import","7.0","0.16","29.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Antigua and Barbuda","2015.0","Import","5.0","0.11","6.64","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Australia","2015.0","Import","1149.0","25.62","265395.08","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Austria","2015.0","Import","1768.0","39.43","1667679.37","1.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","Azerbaijan","2015.0","Import","25.0","0.56","906.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
