"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Seychelles","Aruba","2015.0","Import","1.0","0.03","0.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Afghanistan","2015.0","Import","54.0","1.58","32.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Angola","2015.0","Import","1.0","0.03","0.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Albania","2015.0","Import","3.0","0.09","75.13","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Andorra","2015.0","Import","49.0","1.44","44.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","United Arab Emirates","2015.0","Import","2420.0","70.99","254352.9","26.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Argentina","2015.0","Import","23.0","0.67","257.53","0.03","16.07","26.04","10.0","0.0","80.0","0.0","20.0","32.53","0.0","0.0","356.59","85.39","16.07","26.04","10.0","0.0","80.0","0.0","20.0","32.53","0.0","0.0","356.59","85.39",""
"Seychelles","American Samoa","2015.0","Import","1.0","0.03","0.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Antigua and Barbuda","2015.0","Import","1.0","0.03","5.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Australia","2015.0","Import","949.0","27.84","6570.1","0.67","1.94","2.32","196.0","28.06","70.92","1.02","0.0","100.0","0.0","263.52","1018.88","6667.24","1.94","2.32","196.0","28.06","70.92","1.02","0.0","100.0","0.0","263.52","1018.88","6667.24",""
"Seychelles","Austria","2015.0","Import","127.0","3.73","1170.01","0.12","1.11","1.3","187.0","13.37","86.63","0.0","0.0","25.0","0.0","0.0","369.65","1693.35","1.61","1.34","187.0","8.02","86.1","2.67","3.21","62.87","0.0","12.81","369.81","1693.19","1.0"
"Seychelles","Belgium","2015.0","Import","884.0","25.93","6443.43","0.66","2.1","3.34","1085.0","14.47","85.44","0.0","0.09","200.0","0.0","0.0","1677.88","6581.18","2.78","3.76","1085.0","15.3","83.32","0.74","0.65","200.0","0.0","30.83","1706.52","6552.54","1.0"
"Seychelles","Bangladesh","2015.0","Import","85.0","2.49","557.39","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Bulgaria","2015.0","Import","72.0","2.11","426.15","0.04","1.25","0.62","58.0","6.9","91.38","1.72","0.0","20.0","0.0","3158.22","3182.61","377.31","1.46","0.76","58.0","6.9","91.38","1.72","0.0","25.0","0.0","3158.22","3182.61","377.31","1.0"
"Seychelles","Bahrain","2015.0","Import","328.0","9.62","371.32","0.04","2.06","1.55","27.0","18.52","81.48","0.0","0.0","25.0","0.0","0.0","17.33","145.33","2.06","1.55","27.0","18.52","81.48","0.0","0.0","25.0","0.0","0.0","17.33","145.33",""
"Seychelles","Bahamas, The","2015.0","Import","5.0","0.15","77.53","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Bosnia and Herzegovina","2015.0","Import","10.0","0.29","8.93","0.0","0.0","0.0","2.0","0.0","50.0","50.0","0.0","0.0","0.0","722.02","722.02","83.88","0.0","0.0","2.0","0.0","50.0","50.0","0.0","0.0","0.0","722.02","722.02","83.88",""
"Seychelles","Belize","2015.0","Import","3.0","0.09","37.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Bermuda","2015.0","Import","5.0","0.15","3.62","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Brazil","2015.0","Import","145.0","4.25","6757.8","0.69","2.68","20.99","106.0","13.21","84.91","0.0","1.89","100.0","0.0","0.0","5983.13","1709.56","2.68","20.99","106.0","13.21","84.91","0.0","1.89","100.0","0.0","0.0","5983.13","1709.56",""
"Seychelles","Brunei","2015.0","Import","1.0","0.03","22.59","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Botswana","2015.0","Import","20.0","0.59","0.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Canada","2015.0","Import","629.0","18.45","1357.06","0.14","0.95","1.36","92.0","5.43","94.57","0.0","0.0","25.0","0.0","0.0","450.33","7756.67","0.95","1.36","92.0","5.43","94.57","0.0","0.0","25.0","0.0","0.0","450.33","7756.67",""
"Seychelles","Switzerland","2015.0","Import","383.0","11.23","2914.41","0.3","1.89","0.03","153.0","12.42","87.58","0.0","0.0","25.0","0.0","0.0","41.99","34931.07","1.89","0.03","153.0","12.42","87.58","0.0","0.0","25.0","0.0","0.0","41.99","34931.07",""
"Seychelles","Chile","2015.0","Import","31.0","0.91","369.5","0.04","0.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","228.63","0.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","228.63",""
"Seychelles","China","2015.0","Import","1626.0","47.7","48338.95","4.96","2.52","15.07","1055.0","15.45","84.36","0.19","0.0","200.0","0.0","23.28","11778.52","47395.98","2.52","15.07","1055.0","15.45","84.36","0.19","0.0","200.0","0.0","23.28","11778.52","47395.98",""
"Seychelles","Cote d'Ivoire","2015.0","Import","11.0","0.32","91.37","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Cameroon","2015.0","Import","2.0","0.06","62.35","0.01","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.15","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.15",""
"Seychelles","Congo, Rep.","2015.0","Import","11.0","0.32","994.95","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Cook Islands","2015.0","Import","2.0","0.06","2.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Colombia","2015.0","Import","49.0","1.44","76.11","0.01","14.77","20.15","24.0","70.83","29.17","0.0","0.0","25.0","0.0","0.0","53.07","8.08","14.77","20.15","24.0","70.83","29.17","0.0","0.0","25.0","0.0","0.0","53.07","8.08",""
"Seychelles","Costa Rica","2015.0","Import","4.0","0.12","5.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Cuba","2015.0","Import","4.0","0.12","50.39","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Curaçao","2015.0","Import","4.0","0.12","27.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Cayman Islands","2015.0","Import","17.0","0.5","4273.81","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","Cyprus","2015.0","Import","50.0","1.47","1323.43","0.14","3.24","0.63","47.0","19.15","80.85","0.0","0.0","20.0","0.0","0.0","64.37","933.11","0.0","0.0","47.0","0.0","80.85","19.15","0.0","0.0","0.0","64.37","64.37","933.11","1.0"
"Seychelles","Czech Republic","2015.0","Import","161.0","4.72","793.87","0.08","0.55","0.05","201.0","8.96","91.04","0.0","0.0","20.0","0.0","0.0","10.29","1750.64","0.81","0.05","201.0","4.98","91.04","1.0","2.99","62.87","0.0","1.33","10.29","1750.64","1.0"
