"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Togo","Afghanistan","2015.0","Import","1.0","0.04","1.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Angola","2015.0","Import","1.0","0.04","772.55","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Anguila","2015.0","Import","1.0","0.04","0.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Albania","2015.0","Import","1.0","0.04","1.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Andorra","2015.0","Import","2.0","0.09","11.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","United Arab Emirates","2015.0","Import","232.0","10.12","25230.09","1.46","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Argentina","2015.0","Import","41.0","1.79","2489.87","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Antigua and Barbuda","2015.0","Import","4.0","0.17","274.26","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Australia","2015.0","Import","15.0","0.65","716.69","0.04","10.69","11.5","76.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","2730.41","0.0","10.69","11.5","76.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","2730.41","0.0",""
"Togo","Austria","2015.0","Import","104.0","4.54","16633.11","0.96","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Belgium","2015.0","Import","503.0","21.95","65786.92","3.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","Benin","2015.0","Import","237.0","10.34","8230.85","0.48","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Togo","Burkina Faso","2015.0","Import","65.0","2.84","5098.44","0.29","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Togo","Bangladesh","2015.0","Import","17.0","0.74","1043.92","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
