"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Thailand","Aruba","2015.0","Import","2.0","0.04","113.62","0.0","0.0","0.0","6.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","113.62","0.0","0.0","6.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","113.62",""
"Thailand","Afghanistan","2015.0","Import","71.0","1.58","75.21","0.0","9.11","2.2","240.0","42.92","57.08","0.0","0.0","30.0","0.0","0.0","8.14","67.08","17.61","8.7","240.0","75.0","19.58","0.0","5.42","30.0","0.0","0.0","58.08","17.13","1.0"
"Thailand","Angola","2015.0","Import","46.0","1.02","155591.89","0.08","5.24","0.0","126.0","36.51","63.49","0.0","0.0","30.0","0.0","0.0","3.61","155588.28","11.05","0.0","126.0","62.7","36.51","0.0","0.79","30.0","0.0","0.0","22.9","155568.98","1.0"
"Thailand","Anguila","2015.0","Import","9.0","0.2","33.77","0.0","24.84","18.7","19.0","57.89","36.84","0.0","5.26","60.0","0.0","0.0","15.73","18.04","24.84","18.7","19.0","57.89","36.84","0.0","5.26","60.0","0.0","0.0","15.73","18.04",""
"Thailand","Albania","2015.0","Import","69.0","1.53","465.76","0.0","23.82","13.99","156.0","91.67","8.33","0.0","0.0","30.0","0.0","0.0","254.39","211.36","23.82","13.99","156.0","91.67","8.33","0.0","0.0","30.0","0.0","0.0","254.39","211.36",""
"Thailand","Andorra","2015.0","Import","32.0","0.71","194.43","0.0","6.78","6.12","174.0","52.3","47.7","0.0","0.0","30.0","0.0","0.0","125.58","68.86","6.78","6.12","174.0","52.3","47.7","0.0","0.0","30.0","0.0","0.0","125.58","68.86",""
"Thailand","United Arab Emirates","2015.0","Import","1027.0","22.85","8135333.15","4.03","13.48","1.04","2844.0","74.51","21.62","0.81","3.06","94.0","0.0","744304.09","855271.96","7280061.18","13.48","1.04","2844.0","74.51","21.62","0.81","3.06","94.0","0.0","744304.09","855271.96","7280061.18",""
"Thailand","Argentina","2015.0","Import","315.0","7.01","559775.45","0.28","13.65","46.84","1160.0","73.71","21.81","2.24","2.24","218.0","0.0","430.24","534126.94","25648.5","13.65","46.84","1160.0","73.71","21.81","2.24","2.24","218.0","0.0","430.24","534126.94","25648.5",""
"Thailand","Armenia","2015.0","Import","23.0","0.51","729.22","0.0","15.43","5.47","73.0","87.67","12.33","0.0","0.0","60.0","0.0","0.0","374.65","354.58","15.43","5.47","73.0","87.67","12.33","0.0","0.0","60.0","0.0","0.0","374.65","354.58",""
"Thailand","Fr. So. Ant. Tr","2015.0","Import","2.0","0.04","134.87","0.0","3.89","0.0","10.0","70.0","30.0","0.0","0.0","10.0","0.0","0.0","0.01","134.85","3.89","0.0","10.0","70.0","30.0","0.0","0.0","10.0","0.0","0.0","0.01","134.85",""
