"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Trinidad and Tobago","Aruba","2015.0","Import","57.0","1.51","1025.61","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Afghanistan","2015.0","Import","5.0","0.13","2.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Angola","2015.0","Import","3.0","0.08","1723.09","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Anguila","2015.0","Import","1.0","0.03","185.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Albania","2015.0","Import","9.0","0.24","71.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","United Arab Emirates","2015.0","Import","141.0","3.73","6477.64","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Argentina","2015.0","Import","98.0","2.59","13514.4","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Armenia","2015.0","Import","4.0","0.11","1.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","American Samoa","2015.0","Import","3.0","0.08","22.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Antigua and Barbuda","2015.0","Import","13.0","0.34","341.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
