"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Tunisia","Afghanistan","2015.0","Import","9.0","0.22","13.64","0.0","27.73","27.36","62.0","95.16","4.84","0.0","0.0","30.0","0.0","0.0","4.16","0.0","27.73","27.36","62.0","95.16","4.84","0.0","0.0","30.0","0.0","0.0","4.16","0.0",""
"Tunisia","Angola","2015.0","Import","5.0","0.12","10.62","0.0","30.0","30.0","6.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","3.78","0.0","30.0","30.0","6.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","3.78","0.0",""
"Tunisia","Albania","2015.0","Import","60.0","1.45","696.52","0.0","22.71","14.03","558.0","91.58","8.42","0.0","0.0","30.0","0.0","0.0","1294.95","881.96","22.71","14.03","558.0","91.58","8.42","0.0","0.0","30.0","0.0","0.0","1294.95","881.96",""
"Tunisia","Andorra","2015.0","Import","4.0","0.1","5.1","0.0","19.5","15.89","112.0","94.64","5.36","0.0","0.0","30.0","0.0","0.0","1.74","1.0","19.5","15.89","112.0","94.64","5.36","0.0","0.0","30.0","0.0","0.0","1.74","1.0",""
"Tunisia","United Arab Emirates","2015.0","Import","418.0","10.11","119513.56","0.59","2.26","0.26","3082.0","14.54","85.46","0.0","0.0","36.0","0.0","0.0","2780.81","116706.55","18.7","8.99","3082.0","78.49","21.51","0.0","0.0","36.0","0.0","0.0","49137.37","70349.99","1.0"
"Tunisia","Argentina","2015.0","Import","117.0","2.83","84774.33","0.42","18.01","6.81","942.0","82.38","17.62","0.0","0.0","36.0","0.0","0.0","81242.32","177148.27","18.01","6.81","942.0","82.38","17.62","0.0","0.0","36.0","0.0","0.0","81242.32","177148.27",""
"Tunisia","Armenia","2015.0","Import","3.0","0.07","1.98","0.0","5.0","2.23","20.0","20.0","80.0","0.0","0.0","10.0","0.0","0.0","0.17","0.59","5.0","2.23","20.0","20.0","80.0","0.0","0.0","10.0","0.0","0.0","0.17","0.59",""
"Tunisia","American Samoa","2015.0","Import","1.0","0.02","14.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","Antigua and Barbuda","2015.0","Import","6.0","0.15","274.93","0.0","24.89","20.55","39.0","69.23","30.77","0.0","0.0","30.0","0.0","0.0","3.19","0.0","24.89","20.55","39.0","69.23","30.77","0.0","0.0","30.0","0.0","0.0","3.19","0.0",""
"Tunisia","Australia","2015.0","Import","169.0","4.09","7097.9","0.04","14.75","18.55","1168.0","75.51","24.49","0.0","0.0","36.0","0.0","0.0","5478.08","2173.09","14.75","18.55","1168.0","75.51","24.49","0.0","0.0","36.0","0.0","0.0","5478.08","2173.09",""
"Tunisia","Austria","2015.0","Import","661.0","15.99","84254.41","0.42","0.76","0.23","3648.0","3.84","96.16","0.0","0.0","36.0","0.0","0.0","4061.68","104765.19","14.92","12.55","3648.0","74.81","25.19","0.0","0.0","36.0","0.0","0.0","83122.45","25704.43","1.0"
"Tunisia","Azerbaijan","2015.0","Import","1.0","0.02","305756.47","1.51","14.4","0.0","103.0","35.92","64.08","0.0","0.0","30.0","0.0","0.0","6.71","774019.38","14.4","0.0","103.0","35.92","64.08","0.0","0.0","30.0","0.0","0.0","6.71","774019.38",""
"Tunisia","Belgium","2015.0","Import","1535.0","37.14","255852.29","1.27","1.4","1.33","6640.0","9.4","90.6","0.0","0.0","36.0","0.0","0.0","20988.66","367895.09","13.33","12.18","6640.0","72.03","27.97","0.0","0.0","36.0","0.0","0.0","287720.3","101163.45","1.0"
"Tunisia","Benin","2015.0","Import","7.0","0.17","968.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","Burkina Faso","2015.0","Import","2.0","0.05","108.61","0.0","19.0","3.74","10.0","50.0","50.0","0.0","0.0","36.0","0.0","0.0","831.88","1719.19","19.0","3.74","10.0","50.0","50.0","0.0","0.0","36.0","0.0","0.0","831.88","1719.19",""
"Tunisia","Bangladesh","2015.0","Import","189.0","4.57","9903.07","0.05","25.55","23.37","816.0","91.05","8.95","0.0","0.0","30.0","0.0","0.0","8792.27","1259.51","25.55","23.37","816.0","91.05","8.95","0.0","0.0","30.0","0.0","0.0","8792.27","1259.51",""
"Tunisia","Bulgaria","2015.0","Import","360.0","8.71","123075.66","0.61","19.34","9.27","2072.0","84.03","15.97","0.0","0.0","36.0","0.0","0.0","229864.79","17240.8","19.34","9.27","2072.0","84.03","15.97","0.0","0.0","36.0","0.0","0.0","229864.79","17240.8",""
"Tunisia","Bahrain","2015.0","Import","30.0","0.73","5605.98","0.03","0.0","0.0","237.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","9948.46","14.43","2.14","237.0","81.86","18.14","0.0","0.0","30.0","0.0","0.0","1017.9","8930.56","1.0"
"Tunisia","Bahamas, The","2015.0","Import","1.0","0.02","1.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","Bosnia and Herzegovina","2015.0","Import","36.0","0.87","252.62","0.0","26.27","15.08","384.0","90.36","9.64","0.0","0.0","30.0","0.0","0.0","26066.53","0.0","26.27","15.08","384.0","90.36","9.64","0.0","0.0","30.0","0.0","0.0","26066.53","0.0",""
"Tunisia","Belarus","2015.0","Import","26.0","0.63","14918.92","0.07","16.73","13.33","84.0","78.57","21.43","0.0","0.0","30.0","0.0","0.0","8283.78","993.91","16.73","13.33","84.0","78.57","21.43","0.0","0.0","30.0","0.0","0.0","8283.78","993.91",""
"Tunisia","Belize","2015.0","Import","6.0","0.15","123.4","0.0","17.0","26.62","48.0","89.58","10.42","0.0","0.0","30.0","0.0","0.0","1551.77","22.15","17.0","26.62","48.0","89.58","10.42","0.0","0.0","30.0","0.0","0.0","1551.77","22.15",""
"Tunisia","Bermuda","2015.0","Import","4.0","0.1","37.86","0.0","30.0","30.0","31.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","4.95","0.0","30.0","30.0","31.0","100.0","0.0","0.0","0.0","30.0","30.0","0.0","4.95","0.0",""
