"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Turkey","Afghanistan","2015.0","Import","58.0","1.33","11889.38","0.01","4.68","2.81","261.0","57.85","40.23","0.0","1.92","43.2","0.0","0.0","6253.31","5636.06","4.68","2.81","261.0","57.85","40.23","0.0","1.92","43.2","0.0","0.0","6253.31","5636.06","1.0"
"Turkey","Angola","2015.0","Import","4.0","0.09","156.03","0.0","3.45","3.86","11.0","63.64","36.36","0.0","0.0","6.5","0.0","0.0","155.38","0.65","3.45","3.86","11.0","63.64","36.36","0.0","0.0","6.5","0.0","0.0","155.38","0.65","1.0"
"Turkey","Albania","2015.0","Import","198.0","4.52","49577.78","0.02","0.51","1.36","838.0","4.06","95.94","0.0","0.0","57.6","0.0","0.0","2265.89","47311.89","7.54","15.56","838.0","81.03","17.06","1.19","0.72","57.6","0.0","44.29","46664.05","2913.72","1.0"
"Turkey","Andorra","2015.0","Import","7.0","0.16","166.28","0.0","2.99","3.58","59.0","83.05","16.95","0.0","0.0","14.0","0.0","0.0","165.77","0.51","2.99","3.58","59.0","83.05","16.95","0.0","0.0","14.0","0.0","0.0","165.77","0.51",""
"Turkey","United Arab Emirates","2015.0","Import","618.0","14.12","2008689.63","0.97","2.65","0.8","2790.0","26.24","73.08","0.68","0.0","135.0","0.0","128.13","358701.53","1649969.45","4.97","1.19","2790.0","73.3","25.91","0.75","0.04","135.0","0.0","128.13","470494.31","1538176.67","1.0"
"Turkey","Argentina","2015.0","Import","288.0","6.58","234495.3","0.11","3.88","8.52","1492.0","23.26","76.68","0.07","0.0","145.0","0.0","9.89","189010.69","45484.6","6.09","9.97","1492.0","76.34","23.53","0.13","0.0","145.0","0.0","9.89","202535.56","31959.74","1.0"
"Turkey","Armenia","2015.0","Import","26.0","0.59","987.91","0.0","9.19","11.69","121.0","87.6","12.4","0.0","0.0","12.0","0.0","0.0","971.54","16.36","9.19","11.69","121.0","87.6","12.4","0.0","0.0","12.0","0.0","0.0","971.54","16.36",""
"Turkey","American Samoa","2015.0","Import","15.0","0.34","1156.06","0.0","3.2","15.84","40.0","12.5","87.5","0.0","0.0","43.2","0.0","0.0","424.09","731.97","6.17","15.91","40.0","85.0","15.0","0.0","0.0","43.2","0.0","0.0","446.13","709.93","1.0"
"Turkey","Antigua and Barbuda","2015.0","Import","4.0","0.09","1752.22","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1752.22","2.39","0.24","9.0","33.33","66.67","0.0","0.0","6.5","0.0","0.0","1205.86","546.37","1.0"
"Turkey","Australia","2015.0","Import","663.0","15.15","544814.65","0.26","5.35","2.02","3081.0","68.74","30.25","0.39","0.62","180.0","0.0","43.73","80532.81","463285.81","5.35","2.02","3081.0","68.74","30.25","0.39","0.62","180.0","0.0","43.73","80532.81","463285.81",""
