"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Tanzania","Aruba","2015.0","Import","1.0","0.02","0.44","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.44","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.44",""
"Tanzania","Afghanistan","2015.0","Import","12.0","0.3","3.01","0.0","18.75","20.29","12.0","75.0","25.0","0.0","0.0","25.0","0.0","0.0","2.44","0.57","18.75","20.29","12.0","75.0","25.0","0.0","0.0","25.0","0.0","0.0","2.44","0.57",""
"Tanzania","Angola","2015.0","Import","32.0","0.8","16.85","0.0","0.0","0.0","36.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","16.85","16.82","8.95","36.0","75.0","22.22","0.0","2.78","35.0","0.0","0.0","10.92","5.94","1.0"
"Tanzania","Albania","2015.0","Import","3.0","0.07","6.34","0.0","16.67","9.89","3.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","2.51","3.83","16.67","9.89","3.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","2.51","3.83",""
"Tanzania","Andorra","2015.0","Import","15.0","0.37","120.46","0.0","8.0","9.54","15.0","80.0","20.0","0.0","0.0","10.0","0.0","0.0","114.97","5.49","8.0","9.54","15.0","80.0","20.0","0.0","0.0","10.0","0.0","0.0","114.97","5.49",""
"Tanzania","United Arab Emirates","2015.0","Import","2438.0","60.74","838810.35","5.7","14.58","6.53","2764.0","69.86","29.81","0.0","0.33","100.0","0.0","0.0","536214.19","301945.74","14.58","6.53","2764.0","69.86","29.81","0.0","0.33","100.0","0.0","0.0","536214.19","301945.74",""
"Tanzania","Argentina","2015.0","Import","85.0","2.12","17299.31","0.12","14.64","1.78","95.0","83.16","16.84","0.0","0.0","50.0","0.0","0.0","1962.54","15336.77","14.64","1.78","95.0","83.16","16.84","0.0","0.0","50.0","0.0","0.0","1962.54","15336.77",""
"Tanzania","Armenia","2015.0","Import","1.0","0.02","8.78","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","8.78","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","8.78","0.0",""
"Tanzania","American Samoa","2015.0","Import","33.0","0.82","55.14","0.0","18.48","19.67","33.0","78.79","18.18","0.0","3.03","35.0","0.0","0.0","43.19","11.95","18.48","19.67","33.0","78.79","18.18","0.0","3.03","35.0","0.0","0.0","43.19","11.95",""
"Tanzania","Antigua and Barbuda","2015.0","Import","2.0","0.05","1.82","0.0","12.5","11.73","2.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","0.85","0.97","12.5","11.73","2.0","50.0","50.0","0.0","0.0","25.0","0.0","0.0","0.85","0.97",""
