"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Uganda","Angola","2015.0","Import","1.0","0.03","0.53","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.53","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.53","0.0",""
"Uganda","Anguila","2015.0","Import","1.0","0.03","0.0","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.0","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.0","0.0",""
"Uganda","United Arab Emirates","2015.0","Import","2280.0","60.27","405899.42","7.34","15.19","7.75","2587.0","72.4","27.21","0.0","0.39","100.0","0.0","0.0","259258.21","146574.17","15.19","7.75","2587.0","72.4","27.21","0.0","0.39","100.0","0.0","0.0","259258.21","146574.17",""
"Uganda","Argentina","2015.0","Import","39.0","1.03","4457.05","0.08","10.96","28.36","45.0","68.89","31.11","0.0","0.0","35.0","0.0","0.0","4105.16","351.89","10.96","28.36","45.0","68.89","31.11","0.0","0.0","35.0","0.0","0.0","4105.16","351.89",""
"Uganda","Antigua and Barbuda","2015.0","Import","5.0","0.13","9.07","0.0","7.5","2.23","6.0","33.33","66.67","0.0","0.0","25.0","0.0","0.0","1.6","7.47","7.5","2.23","6.0","33.33","66.67","0.0","0.0","25.0","0.0","0.0","1.6","7.47",""
"Uganda","Australia","2015.0","Import","364.0","9.62","7454.15","0.13","14.37","23.16","429.0","67.83","31.93","0.0","0.23","60.0","0.0","0.0","5654.13","1800.02","14.37","23.16","429.0","67.83","31.93","0.0","0.23","60.0","0.0","0.0","5654.13","1800.02",""
"Uganda","Austria","2015.0","Import","143.0","3.78","6037.42","0.11","10.42","14.85","163.0","57.06","42.94","0.0","0.0","25.0","0.0","0.0","3744.37","2293.04","10.42","14.85","163.0","57.06","42.94","0.0","0.0","25.0","0.0","0.0","3744.37","2293.04",""
"Uganda","Azerbaijan","2015.0","Import","1.0","0.03","0.42","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.42","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.42","0.0",""
"Uganda","Burundi","2015.0","Import","25.0","0.66","3379.01","0.06","0.0","0.0","28.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3379.01","8.0","9.12","28.0","46.43","53.57","0.0","0.0","25.0","0.0","0.0","1840.31","1538.69","2.0"
"Uganda","Belgium","2015.0","Import","704.0","18.61","33333.92","0.6","12.25","4.59","802.0","65.09","34.79","0.0","0.12","60.0","0.0","0.0","10320.33","23013.59","12.25","4.59","802.0","65.09","34.79","0.0","0.12","60.0","0.0","0.0","10320.33","23013.59",""
"Uganda","Benin","2015.0","Import","7.0","0.19","2.85","0.0","25.0","25.0","7.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","2.85","0.0","25.0","25.0","7.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","2.85","0.0",""
"Uganda","Bangladesh","2015.0","Import","24.0","0.63","4980.36","0.09","20.73","15.62","25.0","88.0","12.0","0.0","0.0","35.0","0.0","0.0","2245.4","2734.96","20.73","15.62","25.0","88.0","12.0","0.0","0.0","35.0","0.0","0.0","2245.4","2734.96",""
"Uganda","Bulgaria","2015.0","Import","42.0","1.11","330.74","0.01","7.86","8.5","44.0","38.64","61.36","0.0","0.0","25.0","0.0","0.0","120.47","210.26","7.86","8.5","44.0","38.64","61.36","0.0","0.0","25.0","0.0","0.0","120.47","210.26",""
"Uganda","Bahrain","2015.0","Import","26.0","0.69","15548.32","0.28","12.48","3.71","59.0","52.54","47.46","0.0","0.0","25.0","0.0","0.0","10039.92","5508.4","12.48","3.71","59.0","52.54","47.46","0.0","0.0","25.0","0.0","0.0","10039.92","5508.4",""
"Uganda","Bosnia and Herzegovina","2015.0","Import","11.0","0.29","55.04","0.0","4.55","0.26","11.0","45.45","54.55","0.0","0.0","10.0","0.0","0.0","1.44","53.6","4.55","0.26","11.0","45.45","54.55","0.0","0.0","10.0","0.0","0.0","1.44","53.6",""
"Uganda","Belarus","2015.0","Import","9.0","0.24","30.83","0.0","5.56","3.15","9.0","22.22","77.78","0.0","0.0","25.0","0.0","0.0","3.89","26.94","5.56","3.15","9.0","22.22","77.78","0.0","0.0","25.0","0.0","0.0","3.89","26.94",""
"Uganda","Belize","2015.0","Import","1.0","0.03","0.21","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.21","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.21","0.0",""
"Uganda","Bolivia","2015.0","Import","1.0","0.03","1.17","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.17","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.17","0.0",""
"Uganda","Brazil","2015.0","Import","119.0","3.15","8765.12","0.16","9.37","15.01","129.0","55.04","43.41","0.0","1.55","100.0","0.0","0.0","2731.3","6033.83","9.37","15.01","129.0","55.04","43.41","0.0","1.55","100.0","0.0","0.0","2731.3","6033.83",""
"Uganda","Botswana","2015.0","Import","24.0","0.63","257.37","0.0","17.4","1.04","26.0","73.08","23.08","0.0","3.85","35.0","0.0","0.0","21.78","235.58","17.4","1.04","26.0","73.08","23.08","0.0","3.85","35.0","0.0","0.0","21.78","235.58",""
"Uganda","Canada","2015.0","Import","458.0","12.11","21583.52","0.39","14.49","17.83","513.0","71.93","27.88","0.0","0.19","50.0","0.0","0.0","11961.65","9621.16","14.49","17.83","513.0","71.93","27.88","0.0","0.19","50.0","0.0","0.0","11961.65","9621.16",""
"Uganda","Switzerland","2015.0","Import","465.0","12.29","20605.97","0.37","12.39","3.26","545.0","66.61","33.21","0.0","0.18","60.0","0.0","0.0","4359.95","16245.94","12.39","3.26","545.0","66.61","33.21","0.0","0.18","60.0","0.0","0.0","4359.95","16245.94",""
"Uganda","Chile","2015.0","Import","3.0","0.08","136.65","0.0","16.67","7.9","4.0","75.0","25.0","0.0","0.0","25.0","0.0","0.0","43.21","93.44","16.67","7.9","4.0","75.0","25.0","0.0","0.0","25.0","0.0","0.0","43.21","93.44",""
"Uganda","China","2015.0","Import","2673.0","70.66","875016.16","15.83","13.04","9.82","2989.0","64.9","34.86","0.0","0.23","100.0","0.0","0.0","415639.28","459252.27","13.04","9.82","2989.0","64.9","34.86","0.0","0.23","100.0","0.0","0.0","415639.28","459252.27",""
"Uganda","Cote d'Ivoire","2015.0","Import","30.0","0.79","1761.96","0.03","18.71","24.62","32.0","81.25","18.75","0.0","0.0","25.0","0.0","0.0","1741.05","20.91","18.71","24.62","32.0","81.25","18.75","0.0","0.0","25.0","0.0","0.0","1741.05","20.91",""
