"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Ukraine","Afghanistan","2015.0","Import","8.0","0.19","266.02","0.0","4.74","0.02","37.0","75.68","24.32","0.0","0.0","12.0","0.0","0.0","1.14","264.89","4.74","0.02","37.0","75.68","24.32","0.0","0.0","12.0","0.0","0.0","1.14","264.89",""
"Ukraine","Angola","2015.0","Import","3.0","0.07","50.32","0.0","0.79","0.04","10.0","30.0","70.0","0.0","0.0","5.0","0.0","0.0","1.06","40.0","0.79","0.04","10.0","30.0","70.0","0.0","0.0","5.0","0.0","0.0","1.06","40.0",""
"Ukraine","Albania","2015.0","Import","66.0","1.55","2941.11","0.01","8.71","1.48","178.0","74.72","25.28","0.0","0.0","20.0","0.0","0.0","402.0","2539.11","8.71","1.48","178.0","74.72","25.28","0.0","0.0","20.0","0.0","0.0","402.0","2539.11",""
"Ukraine","Andorra","2015.0","Import","4.0","0.09","0.58","0.0","2.08","0.9","10.0","20.0","50.0","30.0","0.0","10.0","0.0","0.3","0.47","0.11","2.08","0.9","10.0","20.0","50.0","30.0","0.0","10.0","0.0","0.3","0.47","0.11",""
"Ukraine","United Arab Emirates","2015.0","Import","343.0","8.05","57607.5","0.15","3.73","4.58","1117.0","49.24","50.76","0.0","0.0","20.0","0.0","0.0","30167.15","10301.22","3.73","4.58","1117.0","49.24","50.76","0.0","0.0","20.0","0.0","0.0","30167.15","10301.22",""
"Ukraine","Argentina","2015.0","Import","235.0","5.51","52604.17","0.14","3.48","2.35","890.0","46.29","46.63","0.0","7.08","50.0","0.0","0.0","37430.29","15173.78","3.48","2.35","890.0","46.29","46.63","0.0","7.08","50.0","0.0","0.0","37430.29","15173.78",""
"Ukraine","Armenia","2015.0","Import","79.0","1.85","7376.65","0.02","0.0","0.0","489.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","5417.46","5.63","2.25","489.0","57.46","23.52","0.0","19.02","17.0","0.0","0.0","2768.41","2649.05","1.0"
"Ukraine","Antarctica","2015.0","Import","1.0","0.02","0.02","0.0","3.33","3.33","3.0","33.33","66.67","0.0","0.0","10.0","0.0","0.0","0.02","0.0","3.33","3.33","3.0","33.33","66.67","0.0","0.0","10.0","0.0","0.0","0.02","0.0",""
"Ukraine","Australia","2015.0","Import","280.0","6.57","159262.42","0.42","3.13","0.12","979.0","45.05","45.76","0.0","9.19","25.0","0.0","0.0","4540.91","154704.39","3.13","0.12","979.0","45.05","45.76","0.0","9.19","25.0","0.0","0.0","4540.91","154704.39",""
"Ukraine","Austria","2015.0","Import","1453.0","34.08","369633.31","0.99","4.04","2.03","3842.0","56.48","41.8","0.0","1.72","50.0","0.0","0.0","141975.09","221732.37","4.04","2.03","3842.0","56.48","41.8","0.0","1.72","50.0","0.0","0.0","141975.09","221732.37",""
"Ukraine","Azerbaijan","2015.0","Import","92.0","2.16","30288.11","0.08","0.0","0.0","388.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","27001.47","5.55","3.18","388.0","64.43","34.79","0.77","0.0","15.0","0.0","1.76","12769.87","14231.6","1.0"
"Ukraine","Burundi","2015.0","Import","1.0","0.02","31.1","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","31.1","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","31.1",""
"Ukraine","Belgium","2015.0","Import","1544.0","36.22","366777.52","0.98","4.45","3.12","4174.0","58.98","39.36","0.07","1.58","50.0","0.0","41.26","240957.17","118412.55","4.45","3.12","4174.0","58.98","39.36","0.07","1.58","50.0","0.0","41.26","240957.17","118412.55",""
"Ukraine","Benin","2015.0","Import","1.0","0.02","4.67","0.0","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","4.67","0.0","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","4.67","0.0",""
"Ukraine","Burkina Faso","2015.0","Import","3.0","0.07","16.94","0.0","3.95","0.32","22.0","90.91","9.09","0.0","0.0","10.0","0.0","0.0","0.9","16.04","3.95","0.32","22.0","90.91","9.09","0.0","0.0","10.0","0.0","0.0","0.9","16.04",""
"Ukraine","Bangladesh","2015.0","Import","230.0","5.4","53961.04","0.14","9.31","10.02","527.0","80.08","19.92","0.0","0.0","12.5","0.0","0.0","51353.0","2608.04","9.31","10.02","527.0","80.08","19.92","0.0","0.0","12.5","0.0","0.0","51353.0","2608.04",""
"Ukraine","Bulgaria","2015.0","Import","784.0","18.39","253119.24","0.67","4.64","3.02","2359.0","57.74","39.85","0.0","2.42","20.0","0.0","0.0","188631.36","39012.52","4.64","3.02","2359.0","57.74","39.85","0.0","2.42","20.0","0.0","0.0","188631.36","39012.52",""
"Ukraine","Bahrain","2015.0","Import","3.0","0.07","57.64","0.0","3.28","1.81","52.0","32.69","67.31","0.0","0.0","10.0","0.0","0.0","57.64","0.0","3.28","1.81","52.0","32.69","67.31","0.0","0.0","10.0","0.0","0.0","57.64","0.0",""
"Ukraine","Bahamas, The","2015.0","Import","3.0","0.07","5.72","0.0","2.8","4.6","16.0","62.5","37.5","0.0","0.0","6.5","0.0","0.0","5.67","0.04","2.8","4.6","16.0","62.5","37.5","0.0","0.0","6.5","0.0","0.0","5.67","0.04",""
"Ukraine","Bosnia and Herzegovina","2015.0","Import","111.0","2.6","9723.94","0.03","5.99","3.28","375.0","58.4","41.6","0.0","0.0","25.0","0.0","0.0","5447.22","4276.44","5.99","3.28","375.0","58.4","41.6","0.0","0.0","25.0","0.0","0.0","5447.22","4276.44",""
"Ukraine","Belarus","2015.0","Import","1187.0","27.84","2449145.55","6.53","0.0","0.0","3205.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2448531.53","4.33","2.23","3205.0","58.03","40.75","0.09","1.12","20.0","0.0","215.99","2226361.85","222169.68","1.0"
"Ukraine","Belize","2015.0","Import","7.0","0.16","28.43","0.0","0.97","1.28","17.0","41.18","58.82","0.0","0.0","5.0","0.0","0.0","9.69","13.69","0.97","1.28","17.0","41.18","58.82","0.0","0.0","5.0","0.0","0.0","9.69","13.69",""
"Ukraine","Bolivia","2015.0","Import","9.0","0.21","789.3","0.0","3.97","1.81","14.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","495.73","293.57","3.97","1.81","14.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","495.73","293.57",""
"Ukraine","Brazil","2015.0","Import","499.0","11.71","166112.2","0.44","3.63","2.86","1454.0","53.51","46.49","0.0","0.0","50.0","0.0","0.0","139788.22","25744.25","3.63","2.86","1454.0","53.51","46.49","0.0","0.0","50.0","0.0","0.0","139788.22","25744.25",""
"Ukraine","Barbados","2015.0","Import","6.0","0.14","33.81","0.0","1.74","0.02","14.0","14.29","85.71","0.0","0.0","12.0","0.0","0.0","0.07","33.74","1.74","0.02","14.0","14.29","85.71","0.0","0.0","12.0","0.0","0.0","0.07","33.74",""
"Ukraine","Brunei","2015.0","Import","1.0","0.02","0.14","0.0","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.14","0.0","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.14","0.0",""
