"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Uruguay","Aruba","2015.0","Import","1.0","0.03","0.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","Afghanistan","2015.0","Import","10.0","0.26","10.42","0.0","5.77","1.14","53.0","86.79","13.21","0.0","0.0","18.0","0.0","0.0","6.78","16.56","5.77","1.14","53.0","86.79","13.21","0.0","0.0","18.0","0.0","0.0","6.78","16.56",""
"Uruguay","Angola","2015.0","Import","2.0","0.05","1.02","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","217485.86","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","217485.86",""
"Uruguay","Albania","2015.0","Import","19.0","0.49","288.32","0.0","19.39","23.35","92.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","143.29","0.0","19.39","23.35","92.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","143.29","0.0",""
"Uruguay","Andorra","2015.0","Import","4.0","0.1","0.78","0.0","16.72","18.09","43.0","97.67","2.33","0.0","0.0","20.0","0.0","0.0","3.77","0.06","16.72","18.09","43.0","97.67","2.33","0.0","0.0","20.0","0.0","0.0","3.77","0.06",""
"Uruguay","United Arab Emirates","2015.0","Import","93.0","2.38","10560.2","0.11","11.3","4.76","498.0","85.94","14.06","0.0","0.0","35.0","0.0","0.0","12955.39","4481.65","11.3","4.76","498.0","85.94","14.06","0.0","0.0","35.0","0.0","0.0","12955.39","4481.65",""
"Uruguay","Argentina","2015.0","Import","2342.0","59.94","1234977.2","13.01","0.04","0.14","6833.0","0.15","99.85","0.0","0.0","35.0","0.0","0.0","60847.51","1324578.38","11.91","11.67","6833.0","86.48","13.52","0.0","0.0","35.0","0.0","0.0","1221774.16","163651.73","7.0"
"Uruguay","Armenia","2015.0","Import","2.0","0.05","1.91","0.0","16.0","3.49","14.0","100.0","0.0","0.0","0.0","20.0","2.0","0.0","19.63","0.0","16.0","3.49","14.0","100.0","0.0","0.0","0.0","20.0","2.0","0.0","19.63","0.0",""
"Uruguay","American Samoa","2015.0","Import","1.0","0.03","10.13","0.0","16.0","16.0","1.0","100.0","0.0","0.0","0.0","16.0","16.0","0.0","0.8","0.0","16.0","16.0","1.0","100.0","0.0","0.0","0.0","16.0","16.0","0.0","0.8","0.0",""
"Uruguay","Australia","2015.0","Import","222.0","5.68","8836.61","0.09","10.45","6.83","1067.0","80.41","19.59","0.0","0.0","35.0","0.0","0.0","6972.27","2569.16","10.45","6.83","1067.0","80.41","19.59","0.0","0.0","35.0","0.0","0.0","6972.27","2569.16",""
"Uruguay","Austria","2015.0","Import","571.0","14.61","20076.21","0.21","11.78","5.63","2067.0","83.12","16.88","0.0","0.0","35.0","0.0","0.0","13716.2","8615.24","11.78","5.63","2067.0","83.12","16.88","0.0","0.0","35.0","0.0","0.0","13716.2","8615.24",""
"Uruguay","Burundi","2015.0","Import","1.0","0.03","2.38","0.0","5.0","5.0","2.0","50.0","50.0","0.0","0.0","10.0","0.0","0.0","1.47","0.0","5.0","5.0","2.0","50.0","50.0","0.0","0.0","10.0","0.0","0.0","1.47","0.0",""
"Uruguay","Belgium","2015.0","Import","718.0","18.38","45797.88","0.48","11.03","7.52","2556.0","83.76","16.24","0.0","0.0","35.0","0.0","0.0","32677.2","13799.81","11.03","7.52","2556.0","83.76","16.24","0.0","0.0","35.0","0.0","0.0","32677.2","13799.81",""
"Uruguay","Burkina Faso","2015.0","Import","1.0","0.03","2.99","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","Bangladesh","2015.0","Import","127.0","3.25","4870.85","0.05","19.55","19.37","196.0","99.49","0.51","0.0","0.0","35.0","0.0","0.0","3405.87","161.13","19.55","19.37","196.0","99.49","0.51","0.0","0.0","35.0","0.0","0.0","3405.87","161.13",""
"Uruguay","Bulgaria","2015.0","Import","129.0","3.3","4729.7","0.05","13.41","5.09","401.0","83.04","16.96","0.0","0.0","20.0","0.0","0.0","5371.67","45.73","13.41","5.09","401.0","83.04","16.96","0.0","0.0","20.0","0.0","0.0","5371.67","45.73",""
"Uruguay","Bahrain","2015.0","Import","2.0","0.05","4173.59","0.04","11.04","10.19","21.0","52.38","47.62","0.0","0.0","20.0","0.0","0.0","420.51","0.0","11.04","10.19","21.0","52.38","47.62","0.0","0.0","20.0","0.0","0.0","420.51","0.0",""
"Uruguay","Bahamas, The","2015.0","Import","7.0","0.18","9083.41","0.1","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","5.88","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","5.88","0.0",""
"Uruguay","Bosnia and Herzegovina","2015.0","Import","23.0","0.59","580.79","0.01","16.24","21.68","125.0","95.2","4.8","0.0","0.0","35.0","0.0","0.0","937.26","0.0","16.24","21.68","125.0","95.2","4.8","0.0","0.0","35.0","0.0","0.0","937.26","0.0",""
"Uruguay","Belarus","2015.0","Import","20.0","0.51","5648.53","0.06","12.96","0.21","24.0","75.0","25.0","0.0","0.0","18.0","0.0","0.0","32.99","1723.85","12.96","0.21","24.0","75.0","25.0","0.0","0.0","18.0","0.0","0.0","32.99","1723.85",""
"Uruguay","Belize","2015.0","Import","5.0","0.13","46.52","0.0","11.03","11.54","44.0","81.82","18.18","0.0","0.0","20.0","0.0","0.0","37.05","0.04","11.03","11.54","44.0","81.82","18.18","0.0","0.0","20.0","0.0","0.0","37.05","0.04",""
"Uruguay","Bermuda","2015.0","Import","1.0","0.03","7.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","Bolivia","2015.0","Import","46.0","1.18","7285.18","0.08","0.0","0.0","197.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","8687.57","14.01","11.72","197.0","91.88","8.12","0.0","0.0","20.0","0.0","0.0","7722.02","965.55","5.0"
"Uruguay","Brazil","2015.0","Import","2434.0","62.3","1626113.42","17.14","0.06","0.7","6877.0","0.19","99.81","0.0","0.0","35.0","0.0","0.0","51371.8","1782098.77","11.75","10.3","6877.0","85.17","14.83","0.0","0.0","35.0","0.0","0.0","1472208.81","361261.76","7.0"
"Uruguay","Barbados","2015.0","Import","6.0","0.15","206.39","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","77.87","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","77.87",""
"Uruguay","Canada","2015.0","Import","630.0","16.12","50792.44","0.54","11.13","5.78","2392.0","83.15","16.85","0.0","0.0","23.0","0.0","0.0","26568.84","17673.22","11.13","5.78","2392.0","83.15","16.85","0.0","0.0","23.0","0.0","0.0","26568.84","17673.22",""
"Uruguay","Switzerland","2015.0","Import","639.0","16.36","35791.96","0.38","11.91","8.85","2723.0","83.95","16.05","0.0","0.0","35.0","0.0","0.0","32040.96","4314.47","11.91","8.85","2723.0","83.95","16.05","0.0","0.0","35.0","0.0","0.0","32040.96","4314.47",""
"Uruguay","Chile","2015.0","Import","871.0","22.29","139475.64","1.47","0.05","0.07","2739.0","0.22","99.78","0.0","0.0","20.0","0.0","0.0","1290.81","138770.88","12.74","10.54","2739.0","86.53","13.47","0.0","0.0","35.0","0.0","0.0","119416.86","20644.82","4.0"
"Uruguay","China","2015.0","Import","2688.0","68.8","1747405.89","18.41","11.95","11.72","7369.0","84.37","15.63","0.0","0.0","35.0","0.0","0.0","1796842.91","192602.58","11.95","11.72","7369.0","84.37","15.63","0.0","0.0","35.0","0.0","0.0","1796842.91","192602.58",""
"Uruguay","Cote d'Ivoire","2015.0","Import","4.0","0.1","242.14","0.0","4.4","3.98","8.0","50.0","50.0","0.0","0.0","14.0","0.0","0.0","56.38","5.63","4.4","3.98","8.0","50.0","50.0","0.0","0.0","14.0","0.0","0.0","56.38","5.63",""
"Uruguay","Cook Islands","2015.0","Import","1.0","0.03","0.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","Colombia","2015.0","Import","328.0","8.4","21328.56","0.22","0.62","0.62","1218.0","10.43","89.57","0.0","0.0","20.0","0.0","0.0","2140.65","16686.78","14.22","12.34","1218.0","91.3","8.7","0.0","0.0","35.0","0.0","0.0","17449.94","1377.49","4.0"
"Uruguay","Costa Rica","2015.0","Import","94.0","2.41","4740.36","0.05","13.75","10.07","342.0","84.8","15.2","0.0","0.0","20.0","0.0","0.0","2977.96","87.03","13.75","10.07","342.0","84.8","15.2","0.0","0.0","20.0","0.0","0.0","2977.96","87.03",""
"Uruguay","Cuba","2015.0","Import","7.0","0.18","1118.49","0.01","0.13","0.0","63.0","3.17","96.83","0.0","0.0","6.4","0.0","0.0","1.04","969.7","10.21","6.29","63.0","87.3","12.7","0.0","0.0","20.0","0.0","0.0","970.74","0.0","4.0"
"Uruguay","Cyprus","2015.0","Import","16.0","0.41","224.94","0.0","11.15","6.67","40.0","57.5","42.5","0.0","0.0","20.0","0.0","0.0","79.08","40.71","11.15","6.67","40.0","57.5","42.5","0.0","0.0","20.0","0.0","0.0","79.08","40.71",""
"Uruguay","Czech Republic","2015.0","Import","427.0","10.93","8518.33","0.09","11.67","5.72","1398.0","85.19","14.81","0.0","0.0","35.0","0.0","0.0","6368.05","7025.83","11.67","5.72","1398.0","85.19","14.81","0.0","0.0","35.0","0.0","0.0","6368.05","7025.83",""
"Uruguay","Germany","2015.0","Import","2005.0","51.32","404450.72","4.26","10.65","6.0","6401.0","85.52","14.48","0.0","0.0","35.0","0.0","0.0","245335.75","191565.27","10.65","6.0","6401.0","85.52","14.48","0.0","0.0","35.0","0.0","0.0","245335.75","191565.27",""
"Uruguay","Djibouti","2015.0","Import","1.0","0.03","0.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","Dominica","2015.0","Import","4.0","0.1","65.97","0.0","16.58","9.74","23.0","95.65","4.35","0.0","0.0","20.0","0.0","0.0","6.11","0.0","16.58","9.74","23.0","95.65","4.35","0.0","0.0","20.0","0.0","0.0","6.11","0.0",""
"Uruguay","Denmark","2015.0","Import","631.0","16.15","215614.04","2.27","11.64","4.73","2437.0","85.56","14.44","0.0","0.0","35.0","0.0","0.0","67078.07","57950.67","11.64","4.73","2437.0","85.56","14.44","0.0","0.0","35.0","0.0","0.0","67078.07","57950.67",""
