"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"St. Vincent and the Grenadines","Aruba","2015.0","Import","5.0","0.17","0.81","0.0","10.59","10.59","17.0","94.12","5.88","0.0","0.0","35.0","0.0","0.0","687.48","0.0","10.59","10.59","17.0","94.12","5.88","0.0","0.0","35.0","0.0","0.0","687.48","0.0",""
"St. Vincent and the Grenadines","Anguila","2015.0","Import","8.0","0.27","1.15","0.0","15.12","15.59","26.0","96.15","3.85","0.0","0.0","30.0","0.0","0.0","1.21","0.09","15.12","15.59","26.0","96.15","3.85","0.0","0.0","30.0","0.0","0.0","1.21","0.09",""
"St. Vincent and the Grenadines","Andorra","2015.0","Import","2.0","0.07","0.32","0.0","17.0","18.32","23.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","1.01","0.0","17.0","18.32","23.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","1.01","0.0",""
"St. Vincent and the Grenadines","United Arab Emirates","2015.0","Import","7.0","0.24","89.52","0.03","14.26","12.54","11.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","2.34","0.0","14.26","12.54","11.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","2.34","0.0",""
"St. Vincent and the Grenadines","Argentina","2015.0","Import","35.0","1.2","298.65","0.09","16.21","9.57","111.0","81.08","18.92","0.0","0.0","40.0","0.0","0.0","289.76","392.63","16.21","9.57","111.0","81.08","18.92","0.0","0.0","40.0","0.0","0.0","289.76","392.63",""
"St. Vincent and the Grenadines","American Samoa","2015.0","Import","1.0","0.03","1.35","0.0","17.78","17.78","9.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","0.1","0.0","17.78","17.78","9.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","0.1","0.0",""
"St. Vincent and the Grenadines","Antigua and Barbuda","2015.0","Import","334.0","11.48","265.83","0.08","0.0","0.0","147.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","9210.55","11.34","7.48","147.0","88.44","11.56","0.0","0.0","40.0","0.0","0.0","9206.77","3.78","1.0"
"St. Vincent and the Grenadines","Australia","2015.0","Import","36.0","1.24","872.63","0.26","11.28","8.9","118.0","89.83","10.17","0.0","0.0","30.0","0.0","0.0","1084.81","5.03","11.28","8.9","118.0","89.83","10.17","0.0","0.0","30.0","0.0","0.0","1084.81","5.03",""
"St. Vincent and the Grenadines","Austria","2015.0","Import","53.0","1.82","222.56","0.07","13.25","14.03","60.0","80.0","20.0","0.0","0.0","35.0","0.0","0.0","164.32","31.02","14.47","15.14","60.0","91.67","8.33","0.0","0.0","35.0","0.0","0.0","195.32","0.01","1.0"
"St. Vincent and the Grenadines","Azerbaijan","2015.0","Import","2.0","0.07","0.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","Belgium","2015.0","Import","43.0","1.48","712.91","0.21","9.73","8.47","73.0","78.08","21.92","0.0","0.0","40.0","0.0","0.0","456.32","32.52","11.69","12.31","73.0","83.56","16.44","0.0","0.0","40.0","0.0","0.0","468.14","20.7","1.0"
"St. Vincent and the Grenadines","Bangladesh","2015.0","Import","24.0","0.82","18.49","0.01","16.01","12.87","69.0","94.2","5.8","0.0","0.0","40.0","0.0","0.0","37.4","0.09","16.01","12.87","69.0","94.2","5.8","0.0","0.0","40.0","0.0","0.0","37.4","0.09",""
"St. Vincent and the Grenadines","Bulgaria","2015.0","Import","19.0","0.65","34.62","0.01","22.67","17.42","141.0","94.33","5.67","0.0","0.0","40.0","0.0","0.0","28.44","9.25","24.74","19.7","141.0","95.74","4.26","0.0","0.0","40.0","0.0","0.0","34.36","3.33","1.0"
"St. Vincent and the Grenadines","Bahamas, The","2015.0","Import","4.0","0.14","15.06","0.0","0.0","0.0","44.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2670.8","12.2","4.99","44.0","86.36","13.64","0.0","0.0","35.0","0.0","0.0","2670.8","0.0","1.0"
"St. Vincent and the Grenadines","Bosnia and Herzegovina","2015.0","Import","9.0","0.31","1.75","0.0","16.66","17.58","23.0","86.96","13.04","0.0","0.0","35.0","0.0","0.0","0.79","0.07","16.66","17.58","23.0","86.96","13.04","0.0","0.0","35.0","0.0","0.0","0.79","0.07",""
"St. Vincent and the Grenadines","Belize","2015.0","Import","35.0","1.2","158.28","0.05","0.0","0.0","43.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","86.17","13.16","13.75","43.0","90.7","9.3","0.0","0.0","40.0","0.0","0.0","84.47","1.7","1.0"
"St. Vincent and the Grenadines","Bolivia","2015.0","Import","1.0","0.03","0.19","0.0","13.0","13.0","5.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","9.55","0.0","13.0","13.0","5.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","9.55","0.0",""
"St. Vincent and the Grenadines","Brazil","2015.0","Import","134.0","4.6","4040.04","1.21","13.67","13.14","322.0","92.86","7.14","0.0","0.0","40.0","0.0","0.0","4065.19","31.25","13.67","13.14","322.0","92.86","7.14","0.0","0.0","40.0","0.0","0.0","4065.19","31.25",""
"St. Vincent and the Grenadines","Barbados","2015.0","Import","600.0","20.62","9295.65","2.79","0.0","0.0","992.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","8750.71","11.82","17.37","992.0","91.33","8.67","0.0","0.0","40.0","0.0","0.0","8566.08","184.63","1.0"
"St. Vincent and the Grenadines","Bouvet Island","2015.0","Import","6.0","0.21","2.31","0.0","17.78","19.23","20.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","0.4","0.0","17.78","19.23","20.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","0.4","0.0",""
"St. Vincent and the Grenadines","Canada","2015.0","Import","765.0","26.29","7221.41","2.16","13.18","11.89","1568.0","94.32","5.68","0.0","0.0","40.0","0.0","0.0","5794.75","375.22","13.18","11.89","1568.0","94.32","5.68","0.0","0.0","40.0","0.0","0.0","5794.75","375.22",""
"St. Vincent and the Grenadines","Switzerland","2015.0","Import","89.0","3.06","218.38","0.07","11.17","11.3","262.0","90.84","9.16","0.0","0.0","40.0","0.0","0.0","288.64","36.7","11.17","11.3","262.0","90.84","9.16","0.0","0.0","40.0","0.0","0.0","288.64","36.7",""
"St. Vincent and the Grenadines","Chile","2015.0","Import","41.0","1.41","1017.19","0.3","20.22","9.51","87.0","93.1","6.9","0.0","0.0","40.0","0.0","0.0","388.52","266.51","20.22","9.51","87.0","93.1","6.9","0.0","0.0","40.0","0.0","0.0","388.52","266.51",""
"St. Vincent and the Grenadines","China","2015.0","Import","1221.0","41.96","18022.86","5.4","12.86","13.64","1863.0","96.46","3.54","0.0","0.0","40.0","0.0","0.0","12260.19","867.17","12.86","13.64","1863.0","96.46","3.54","0.0","0.0","40.0","0.0","0.0","12260.19","867.17",""
"St. Vincent and the Grenadines","Cameroon","2015.0","Import","4.0","0.14","64.19","0.02","15.0","19.34","4.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","0.43","0.0","15.0","19.34","4.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","0.43","0.0",""
"St. Vincent and the Grenadines","Colombia","2015.0","Import","73.0","2.51","7653.39","2.29","16.03","7.9","193.0","92.75","7.25","0.0","0.0","40.0","0.0","0.0","3304.55","286.06","16.03","7.9","193.0","92.75","7.25","0.0","0.0","40.0","0.0","0.0","3304.55","286.06",""
"St. Vincent and the Grenadines","Costa Rica","2015.0","Import","33.0","1.13","1246.64","0.37","15.85","15.51","78.0","96.15","3.85","0.0","0.0","40.0","0.0","0.0","583.72","0.22","15.85","15.51","78.0","96.15","3.85","0.0","0.0","40.0","0.0","0.0","583.72","0.22",""
"St. Vincent and the Grenadines","Cuba","2015.0","Import","9.0","0.31","327.27","0.1","13.44","7.07","30.0","96.67","3.33","0.0","0.0","35.0","0.0","0.0","358.18","0.0","13.44","7.07","30.0","96.67","3.33","0.0","0.0","35.0","0.0","0.0","358.18","0.0",""
"St. Vincent and the Grenadines","Curaçao","2015.0","Import","270.0","9.28","342.14","0.1","17.54","19.09","149.0","97.99","2.01","0.0","0.0","40.0","0.0","0.0","85.49","0.09","17.54","19.09","149.0","97.99","2.01","0.0","0.0","40.0","0.0","0.0","85.49","0.09",""
"St. Vincent and the Grenadines","Cayman Islands","2015.0","Import","1.0","0.03","1.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","Cyprus","2015.0","Import","4.0","0.14","15.71","0.0","6.33","12.49","22.0","54.55","45.45","0.0","0.0","18.0","0.0","0.0","12.71","4.3","9.32","15.69","22.0","81.82","18.18","0.0","0.0","20.0","0.0","0.0","16.73","0.27","1.0"
"St. Vincent and the Grenadines","Czech Republic","2015.0","Import","78.0","2.68","191.84","0.06","7.66","19.33","39.0","89.74","10.26","0.0","0.0","20.0","0.0","0.0","253.2","3.26","10.04","19.45","39.0","97.44","2.56","0.0","0.0","20.0","0.0","0.0","256.45","0.0","1.0"
"St. Vincent and the Grenadines","Germany","2015.0","Import","501.0","17.22","3966.21","1.19","8.66","7.21","681.0","87.67","12.33","0.0","0.0","35.0","0.0","0.0","1202.15","364.02","10.69","8.81","681.0","95.89","4.11","0.0","0.0","35.0","0.0","0.0","1286.49","279.68","1.0"
"St. Vincent and the Grenadines","Dominica","2015.0","Import","79.0","2.71","455.89","0.14","0.0","0.0","167.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","713.42","13.75","21.56","167.0","96.41","3.59","0.0","0.0","30.0","0.0","0.0","712.87","0.56","1.0"
"St. Vincent and the Grenadines","Denmark","2015.0","Import","55.0","1.89","2370.94","0.71","9.78","11.66","85.0","77.65","22.35","0.0","0.0","40.0","0.0","0.0","1000.58","419.11","11.45","11.84","85.0","85.88","14.12","0.0","0.0","40.0","0.0","0.0","1003.2","416.49","1.0"
"St. Vincent and the Grenadines","Dominican Republic","2015.0","Import","84.0","2.89","3739.72","1.12","14.47","6.67","155.0","90.97","9.03","0.0","0.0","40.0","0.0","0.0","1946.56","1596.13","14.47","6.67","155.0","90.97","9.03","0.0","0.0","40.0","0.0","0.0","1946.56","1596.13",""
"St. Vincent and the Grenadines","East Asia & Pacific","2015.0","Import","1403.0","48.21","33363.89","10.0","12.79","14.03","3788.0","95.35","4.65","0.0","0.0","40.0","0.0","0.0","23528.31","2168.08","12.5","14.03","2181.0","95.6","4.4","0.0","0.0","40.0","0.0","0.0","23528.31","2168.08",""
"St. Vincent and the Grenadines","Europe & Central Asia","2015.0","Import","1623.0","55.77","44116.77","13.22","11.29","10.24","6413.0","89.99","10.01","0.0","0.0","40.0","0.0","0.0","32617.02","4930.61","12.72","11.3","2713.0","94.54","5.46","0.0","0.0","40.0","0.0","0.0","33763.24","3784.38","26.0"
"St. Vincent and the Grenadines","Ecuador","2015.0","Import","26.0","0.89","206.26","0.06","13.19","19.18","71.0","95.77","4.23","0.0","0.0","40.0","0.0","0.0","192.07","2.06","13.19","19.18","71.0","95.77","4.23","0.0","0.0","40.0","0.0","0.0","192.07","2.06",""
"St. Vincent and the Grenadines","Egypt, Arab Rep.","2015.0","Import","3.0","0.1","2.56","0.0","19.58","19.59","7.0","100.0","0.0","0.0","0.0","20.0","15.0","0.0","0.31","0.0","19.58","19.59","7.0","100.0","0.0","0.0","0.0","20.0","15.0","0.0","0.31","0.0",""
"St. Vincent and the Grenadines","Eritrea","2015.0","Import","4.0","0.14","0.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","Spain","2015.0","Import","55.0","1.89","316.63","0.09","12.92","9.03","97.0","94.85","5.15","0.0","0.0","40.0","0.0","0.0","108.28","1.43","14.67","9.89","97.0","97.94","2.06","0.0","0.0","40.0","0.0","0.0","109.01","0.7","1.0"
"St. Vincent and the Grenadines","Estonia","2015.0","Import","1.0","0.03","3.75","0.0","11.25","8.22","7.0","100.0","0.0","0.0","0.0","20.0","3.0","0.0","13.06","0.0","12.5","9.68","7.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","13.06","0.0","1.0"
"St. Vincent and the Grenadines","Finland","2015.0","Import","24.0","0.82","70.41","0.02","6.36","9.73","43.0","90.7","9.3","0.0","0.0","35.0","0.0","0.0","129.74","3.34","8.26","11.34","43.0","97.67","2.33","0.0","0.0","35.0","0.0","0.0","132.9","0.18","1.0"
"St. Vincent and the Grenadines","France","2015.0","Import","237.0","8.14","4673.49","1.4","12.62","11.3","365.0","93.15","6.85","0.0","0.0","40.0","0.0","0.0","2016.08","65.45","14.26","12.24","365.0","96.99","3.01","0.0","0.0","40.0","0.0","0.0","2035.31","46.22","1.0"
"St. Vincent and the Grenadines","Gabon","2015.0","Import","7.0","0.24","4.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","United Kingdom","2015.0","Import","1372.0","47.15","24102.89","7.22","10.58","9.48","2259.0","89.46","10.54","0.0","0.0","40.0","0.0","0.0","16373.12","2942.23","12.53","10.57","2259.0","94.91","5.09","0.0","0.0","40.0","0.0","0.0","17181.1","2134.26","1.0"
"St. Vincent and the Grenadines","Georgia","2015.0","Import","8.0","0.27","72.42","0.02","4.58","4.63","10.0","80.0","20.0","0.0","0.0","10.0","0.0","0.0","0.24","0.2","4.58","4.63","10.0","80.0","20.0","0.0","0.0","10.0","0.0","0.0","0.24","0.2",""
"St. Vincent and the Grenadines","Ghana","2015.0","Import","1.0","0.03","46.27","0.01","10.0","5.13","3.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","33.5","0.0","10.0","5.13","3.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","33.5","0.0",""
"St. Vincent and the Grenadines","Guinea","2015.0","Import","1.0","0.03","0.04","0.0","17.5","17.5","2.0","100.0","0.0","0.0","0.0","20.0","15.0","0.0","1.64","0.0","17.5","17.5","2.0","100.0","0.0","0.0","0.0","20.0","15.0","0.0","1.64","0.0",""
"St. Vincent and the Grenadines","Greece","2015.0","Import","17.0","0.58","23.21","0.01","15.85","20.87","33.0","96.97","3.03","0.0","0.0","40.0","0.0","0.0","8.96","0.0","16.35","21.43","33.0","96.97","3.03","0.0","0.0","40.0","0.0","0.0","8.96","0.0","1.0"
