"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Vietnam","Angola","2015.0","Import","8.0","0.18","2215.26","0.0","2.75","2.65","12.0","25.0","75.0","0.0","0.0","12.0","0.0","0.0","18486.12","16400.93","2.75","2.65","12.0","25.0","75.0","0.0","0.0","12.0","0.0","0.0","18486.12","16400.93",""
"Vietnam","United Arab Emirates","2015.0","Import","306.0","6.98","521548.03","0.31","7.2","2.2","908.0","70.48","29.52","0.0","0.0","45.0","0.0","0.0","205347.65","260730.41","7.2","2.2","908.0","70.48","29.52","0.0","0.0","45.0","0.0","0.0","205347.65","260730.41",""
"Vietnam","Argentina","2015.0","Import","143.0","3.26","2163188.56","1.3","6.21","1.59","575.0","66.43","33.57","0.0","0.0","50.0","0.0","0.0","283612.18","1431716.08","6.21","1.59","575.0","66.43","33.57","0.0","0.0","50.0","0.0","0.0","283612.18","1431716.08",""
"Vietnam","Australia","2015.0","Import","1438.0","32.82","2021983.12","1.22","4.66","2.29","3734.0","67.19","32.57","0.24","0.0","56.0","0.0","954.87","1046465.1","1008264.74","8.29","3.26","3734.0","69.98","29.78","0.24","0.0","75.0","0.0","954.87","1202229.15","852500.69","1.0"
"Vietnam","Austria","2015.0","Import","916.0","20.91","412102.34","0.25","7.51","4.54","2425.0","65.32","33.57","1.11","0.0","75.0","0.0","3165.84","134415.44","90846.19","7.51","4.54","2425.0","65.32","33.57","1.11","0.0","75.0","0.0","3165.84","134415.44","90846.19",""
"Vietnam","Belgium","2015.0","Import","1105.0","25.22","494242.35","0.3","7.76","2.37","3025.0","67.31","32.2","0.5","0.0","70.0","0.0","254.19","210052.68","309414.43","7.76","2.37","3025.0","67.31","32.2","0.5","0.0","70.0","0.0","254.19","210052.68","309414.43",""
"Vietnam","Benin","2015.0","Import","8.0","0.18","106523.98","0.06","1.19","1.95","14.0","21.43","78.57","0.0","0.0","5.0","0.0","0.0","30155.11","47043.81","1.19","1.95","14.0","21.43","78.57","0.0","0.0","5.0","0.0","0.0","30155.11","47043.81",""
"Vietnam","Burkina Faso","2015.0","Import","6.0","0.14","72224.84","0.04","2.5","0.68","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","7709.09","48930.76","2.5","0.68","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","7709.09","48930.76",""
"Vietnam","Bangladesh","2015.0","Import","242.0","5.52","41546.48","0.03","15.53","6.12","454.0","84.36","15.64","0.0","0.0","30.0","0.0","0.0","54241.73","1762.96","15.53","6.12","454.0","84.36","15.64","0.0","0.0","30.0","0.0","0.0","54241.73","1762.96",""
"Vietnam","Bulgaria","2015.0","Import","268.0","6.12","61574.94","0.04","10.65","4.68","735.0","69.39","30.61","0.0","0.0","40.0","0.0","0.0","32498.06","6858.34","10.65","4.68","735.0","69.39","30.61","0.0","0.0","40.0","0.0","0.0","32498.06","6858.34",""
"Vietnam","Bahrain","2015.0","Import","18.0","0.41","7091.13","0.0","6.64","1.72","72.0","72.22","27.78","0.0","0.0","26.0","0.0","0.0","8724.93","3604.22","6.64","1.72","72.0","72.22","27.78","0.0","0.0","26.0","0.0","0.0","8724.93","3604.22",""
"Vietnam","Bahamas, The","2015.0","Import","2.0","0.05","0.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vietnam","Belarus","2015.0","Import","171.0","3.9","120125.09","0.07","8.49","1.46","703.0","76.81","22.33","0.85","0.0","56.0","0.0","2706.41","9612.53","83495.47","8.49","1.46","703.0","76.81","22.33","0.85","0.0","56.0","0.0","2706.41","9612.53","83495.47",""
"Vietnam","Bolivia","2015.0","Import","15.0","0.34","4293.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vietnam","Brazil","2015.0","Import","471.0","10.75","2437060.73","1.47","7.1","9.02","1458.0","65.78","34.02","0.21","0.0","75.0","0.0","74.67","1070415.14","778889.84","7.1","9.02","1458.0","65.78","34.02","0.21","0.0","75.0","0.0","74.67","1070415.14","778889.84",""
