"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Samoa","United Arab Emirates","2015.0","Import","8.0","0.28","2.29","0.0","11.0","8.5","4.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","3.47","0.0","11.0","8.5","4.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","3.47","0.0",""
"Samoa","American Samoa","2015.0","Import","281.0","9.79","506.78","0.14","13.55","10.29","272.0","93.01","5.51","0.74","0.74","300.0","0.0","1.42","378.78","41.69","13.55","10.29","272.0","93.01","5.51","0.74","0.74","300.0","0.0","1.42","378.78","41.69",""
"Samoa","Australia","2015.0","Import","1324.0","46.15","36401.44","9.82","13.86","9.1","1415.0","91.52","5.58","0.35","2.54","2879.27","0.0","7.29","24102.09","6333.76","13.86","9.1","1415.0","91.52","5.58","0.35","2.54","2879.27","0.0","7.29","24102.09","6333.76",""
"Samoa","Austria","2015.0","Import","3.0","0.1","3.45","0.0","11.83","5.48","9.0","88.89","11.11","0.0","0.0","20.0","0.0","0.0","75.83","0.0","11.83","5.48","9.0","88.89","11.11","0.0","0.0","20.0","0.0","0.0","75.83","0.0",""
"Samoa","Belgium","2015.0","Import","10.0","0.35","30.88","0.01","8.29","8.99","14.0","92.86","7.14","0.0","0.0","20.0","0.0","0.0","18.11","0.08","8.29","8.99","14.0","92.86","7.14","0.0","0.0","20.0","0.0","0.0","18.11","0.08",""
"Samoa","Bangladesh","2015.0","Import","2.0","0.07","0.17","0.0","13.33","2.88","3.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","1.34","7.95","13.33","2.88","3.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","1.34","7.95",""
"Samoa","Brazil","2015.0","Import","49.0","1.71","488.03","0.13","14.0","16.84","6.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","132.29","22.52","14.0","16.84","6.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","132.29","22.52",""
"Samoa","Brunei","2015.0","Import","1.0","0.03","0.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Botswana","2015.0","Import","1.0","0.03","3.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Canada","2015.0","Import","23.0","0.8","128.57","0.03","14.43","9.48","26.0","84.62","3.85","0.0","11.54","30.0","0.0","0.0","51.4","0.0","14.43","9.48","26.0","84.62","3.85","0.0","11.54","30.0","0.0","0.0","51.4","0.0",""
"Samoa","Switzerland","2015.0","Import","32.0","1.12","74.44","0.02","13.17","13.29","30.0","96.67","3.33","0.0","0.0","20.0","0.0","0.0","22.0","0.0","13.17","13.29","30.0","96.67","3.33","0.0","0.0","20.0","0.0","0.0","22.0","0.0",""
"Samoa","Chile","2015.0","Import","5.0","0.17","73.67","0.02","16.0","18.39","6.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","22.57","0.0","16.0","18.39","6.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","22.57","0.0",""
"Samoa","China","2015.0","Import","1454.0","50.68","54977.07","14.84","12.03","9.55","1551.0","96.78","2.71","0.06","0.45","134.36","0.0","0.06","42522.72","6465.92","12.03","9.55","1551.0","96.78","2.71","0.06","0.45","134.36","0.0","0.06","42522.72","6465.92",""
"Samoa","Cameroon","2015.0","Import","2.0","0.07","1.16","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.65","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.65","0.0",""
"Samoa","Cook Islands","2015.0","Import","2.0","0.07","5.65","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","2.49","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","2.49","0.0",""
"Samoa","Costa Rica","2015.0","Import","4.0","0.14","1.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Czech Republic","2015.0","Import","6.0","0.21","7.29","0.0","16.0","17.2","4.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","5.25","0.0","16.0","17.2","4.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","5.25","0.0",""
"Samoa","Germany","2015.0","Import","128.0","4.46","692.76","0.19","10.75","9.0","175.0","88.57","8.57","0.0","2.86","50.0","0.0","0.0","504.62","42.56","10.75","9.0","175.0","88.57","8.57","0.0","2.86","50.0","0.0","0.0","504.62","42.56",""
"Samoa","Denmark","2015.0","Import","2.0","0.07","0.3","0.0","9.2","18.64","6.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","5.83","0.15","9.2","18.64","6.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","5.83","0.15",""
"Samoa","East Asia & Pacific","2015.0","Import","2737.0","95.4","326853.07","88.2","12.95","10.03","8838.0","93.21","5.18","0.21","1.39","2879.27","0.0","893.75","291938.03","45541.31","12.67","10.03","3130.0","93.83","4.57","0.08","0.49","2879.27","0.0","893.75","291938.03","45541.31",""
"Samoa","Europe & Central Asia","2015.0","Import","300.0","10.46","2968.87","0.8","11.27","8.61","514.0","84.05","8.75","0.97","6.23","50.0","0.0","147.35","5322.05","207.67","11.35","8.61","397.0","87.66","6.8","0.58","3.7","50.0","0.0","147.35","5322.05","207.67",""
"Samoa","Ecuador","2015.0","Import","3.0","0.1","50.37","0.01","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","48.9","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","48.9",""
"Samoa","Spain","2015.0","Import","4.0","0.14","13.4","0.0","9.6","8.5","5.0","60.0","40.0","0.0","0.0","20.0","0.0","0.0","12.34","16.29","9.6","8.5","5.0","60.0","40.0","0.0","0.0","20.0","0.0","0.0","12.34","16.29",""
"Samoa","Finland","2015.0","Import","3.0","0.1","54.01","0.01","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","12.62","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","12.62","0.0",""
"Samoa","Fiji","2015.0","Import","924.0","32.21","22856.26","6.17","11.72","9.76","911.0","92.54","4.5","0.22","2.74","60.55","0.0","17.29","13719.99","3680.76","11.72","9.76","911.0","92.54","4.5","0.22","2.74","60.55","0.0","17.29","13719.99","3680.76",""
"Samoa","France","2015.0","Import","23.0","0.8","235.78","0.06","11.06","8.14","44.0","95.45","4.55","0.0","0.0","20.0","0.0","0.0","2259.13","0.0","11.06","8.14","44.0","95.45","4.55","0.0","0.0","20.0","0.0","0.0","2259.13","0.0",""
"Samoa","United Kingdom","2015.0","Import","68.0","2.37","407.04","0.11","11.66","9.58","86.0","70.93","6.98","3.49","18.6","30.0","0.0","48.76","268.4","57.01","11.66","9.58","86.0","70.93","6.98","3.49","18.6","30.0","0.0","48.76","268.4","57.01",""
"Samoa","Ghana","2015.0","Import","1.0","0.03","2.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Gambia, The","2015.0","Import","1.0","0.03","0.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Greece","2015.0","Import","1.0","0.03","37.67","0.01","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.04","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.04","0.0",""
"Samoa","Guyana","2015.0","Import","2.0","0.07","0.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Hong Kong, China","2015.0","Import","451.0","15.72","3689.94","1.0","12.21","11.19","452.0","98.89","1.11","0.0","0.0","20.0","0.0","0.0","3365.24","565.64","12.21","11.19","452.0","98.89","1.11","0.0","0.0","20.0","0.0","0.0","3365.24","565.64",""
"Samoa","Hungary","2015.0","Import","1.0","0.03","0.09","0.0","9.33","9.7","3.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","0.65","0.52","9.33","9.7","3.0","66.67","33.33","0.0","0.0","20.0","0.0","0.0","0.65","0.52",""
"Samoa","Indonesia","2015.0","Import","113.0","3.94","7418.77","2.0","13.08","9.62","180.0","97.22","2.78","0.0","0.0","20.0","0.0","0.0","6831.84","276.88","13.08","9.62","180.0","97.22","2.78","0.0","0.0","20.0","0.0","0.0","6831.84","276.88",""
"Samoa","India","2015.0","Import","116.0","4.04","932.62","0.25","10.75","7.11","149.0","89.26","10.74","0.0","0.0","20.0","0.0","0.0","1270.35","425.74","10.75","7.11","149.0","89.26","10.74","0.0","0.0","20.0","0.0","0.0","1270.35","425.74",""
"Samoa","Ireland","2015.0","Import","6.0","0.21","21.34","0.01","18.0","26.34","14.0","57.14","7.14","0.0","35.71","30.0","0.0","0.0","7.08","0.0","18.0","26.34","14.0","57.14","7.14","0.0","35.71","30.0","0.0","0.0","7.08","0.0",""
"Samoa","Iran, Islamic Rep.","2015.0","Import","1.0","0.03","0.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Israel","2015.0","Import","3.0","0.1","11.19","0.0","12.0","9.85","3.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","7.34","0.0","12.0","9.85","3.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","7.34","0.0",""
"Samoa","Italy","2015.0","Import","47.0","1.64","203.3","0.05","11.35","9.6","52.0","90.38","9.62","0.0","0.0","20.0","0.0","0.0","387.66","4.39","11.35","9.6","52.0","90.38","9.62","0.0","0.0","20.0","0.0","0.0","387.66","4.39",""
"Samoa","Jamaica","2015.0","Import","5.0","0.17","139.48","0.04","11.5","2.54","6.0","33.33","16.67","0.0","50.0","30.0","0.0","0.0","7.64","26.14","11.5","2.54","6.0","33.33","16.67","0.0","50.0","30.0","0.0","0.0","7.64","26.14",""
"Samoa","Japan","2015.0","Import","261.0","9.1","19141.65","5.17","11.61","4.09","331.0","86.1","13.9","0.0","0.0","20.0","0.0","0.0","6592.72","8609.0","11.61","4.09","331.0","86.1","13.9","0.0","0.0","20.0","0.0","0.0","6592.72","8609.0",""
"Samoa","Cambodia","2015.0","Import","5.0","0.17","8.98","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","1.25","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","1.25","0.0",""
"Samoa","Kiribati","2015.0","Import","2.0","0.07","2.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Korea, Rep.","2015.0","Import","35.0","1.22","584.37","0.16","12.87","8.86","88.0","87.5","10.23","0.0","2.27","134.36","0.0","0.0","896.38","88.24","12.87","8.86","88.0","87.5","10.23","0.0","2.27","134.36","0.0","0.0","896.38","88.24",""
"Samoa","Latin America & Caribbean","2015.0","Import","97.0","3.38","808.75","0.22","12.97","9.75","46.0","63.04","17.39","0.0","19.57","30.0","0.0","0.0","237.99","151.02","12.83","9.75","42.0","69.05","16.67","0.0","13.04","30.0","0.0","0.0","237.99","151.02",""
"Samoa","Sri Lanka","2015.0","Import","1.0","0.03","0.2","0.0","8.0","8.0","3.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","35.03","0.0","8.0","8.0","3.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","35.03","0.0",""
"Samoa","Luxembourg","2015.0","Import","3.0","0.1","0.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Middle East & North Africa","2015.0","Import","12.0","0.42","13.91","0.0","11.25","8.05","27.0","85.19","14.81","0.0","0.0","20.0","0.0","0.0","212.04","0.0","11.25","8.05","27.0","85.19","14.81","0.0","0.0","20.0","0.0","0.0","212.04","0.0",""
"Samoa","Mexico","2015.0","Import","20.0","0.7","28.22","0.01","15.85","8.57","18.0","61.11","5.56","0.0","33.33","30.0","0.0","0.0","49.3","6.34","15.85","8.57","18.0","61.11","5.56","0.0","33.33","30.0","0.0","0.0","49.3","6.34",""
"Samoa","Montserrat","2015.0","Import","1.0","0.03","2.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Mauritius","2015.0","Import","1.0","0.03","19.38","0.01","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","21.49","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","21.49","0.0",""
"Samoa","Malaysia","2015.0","Import","176.0","6.13","10738.21","2.9","11.14","11.85","187.0","92.51","4.81","1.07","1.6","45.53","0.0","717.06","5269.13","253.59","11.14","11.85","187.0","92.51","4.81","1.07","1.6","45.53","0.0","717.06","5269.13","253.59",""
"Samoa","North America","2015.0","Import","1495.0","52.11","37430.55","10.1","14.53","12.8","1735.0","92.45","4.73","0.17","2.65","2879.27","0.0","9.18","38261.53","2386.15","14.53","12.8","1714.0","92.59","4.73","0.17","2.48","2879.27","0.0","9.18","38261.53","2386.15",""
"Samoa","Namibia","2015.0","Import","9.0","0.31","7.19","0.0","9.63","10.62","9.0","88.89","11.11","0.0","0.0","20.0","0.0","0.0","16.91","1.38","9.63","10.62","9.0","88.89","11.11","0.0","0.0","20.0","0.0","0.0","16.91","1.38",""
"Samoa","New Caledonia","2015.0","Import","1.0","0.03","0.38","0.0","9.1","9.86","17.0","94.12","5.88","0.0","0.0","20.0","0.0","0.0","81.51","0.0","9.1","9.86","17.0","94.12","5.88","0.0","0.0","20.0","0.0","0.0","81.51","0.0",""
"Samoa","Niger","2015.0","Import","6.0","0.21","124.49","0.03","8.0","8.0","2.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","85.32","0.0","8.0","8.0","2.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","85.32","0.0",""
"Samoa","Niue","2015.0","Import","1.0","0.03","0.33","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","0.19","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","0.19","0.0",""
"Samoa","Netherlands","2015.0","Import","9.0","0.31","105.22","0.03","10.29","9.98","18.0","77.78","11.11","11.11","0.0","20.0","0.0","98.59","452.46","29.05","10.29","9.98","18.0","77.78","11.11","11.11","0.0","20.0","0.0","98.59","452.46","29.05",""
"Samoa","New Zealand","2015.0","Import","2300.0","80.17","96224.65","25.97","12.87","9.26","2600.0","93.27","4.96","0.19","1.58","2879.27","0.0","10.28","84979.32","11856.56","12.87","9.26","2600.0","93.27","4.96","0.19","1.58","2879.27","0.0","10.28","84979.32","11856.56",""
"Samoa","Other Asia, nes","2015.0","Import","140.0","4.88","1337.99","0.36","11.26","10.72","93.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","1242.24","0.0","11.26","10.72","93.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","1242.24","0.0",""
"Samoa","Pakistan","2015.0","Import","14.0","0.49","13.6","0.0","6.67","6.5","20.0","65.0","35.0","0.0","0.0","20.0","0.0","0.0","21.08","11.11","6.67","6.5","20.0","65.0","35.0","0.0","0.0","20.0","0.0","0.0","21.08","11.11",""
"Samoa","Panama","2015.0","Import","6.0","0.21","6.53","0.0","13.33","10.73","6.0","83.33","16.67","0.0","0.0","20.0","0.0","0.0","0.41","0.0","13.33","10.73","6.0","83.33","16.67","0.0","0.0","20.0","0.0","0.0","0.41","0.0",""
"Samoa","Philippines","2015.0","Import","36.0","1.25","687.39","0.19","18.14","16.76","45.0","88.89","4.44","0.0","6.67","45.53","0.0","0.0","741.82","97.2","18.14","16.76","45.0","88.89","4.44","0.0","6.67","45.53","0.0","0.0","741.82","97.2",""
"Samoa","Papua New Guinea","2015.0","Import","55.0","1.92","545.83","0.15","8.67","9.13","45.0","86.67","13.33","0.0","0.0","20.0","0.0","0.0","388.38","27.86","8.67","9.13","45.0","86.67","13.33","0.0","0.0","20.0","0.0","0.0","388.38","27.86",""
"Samoa","Poland","2015.0","Import","2.0","0.07","0.37","0.0","18.0","19.88","4.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","0.16","0.0","18.0","19.88","4.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","0.16","0.0",""
"Samoa","Korea, Dem. Rep.","2015.0","Import","26.0","0.91","785.59","0.21","9.83","3.01","60.0","63.33","36.67","0.0","0.0","20.0","0.0","0.0","364.78","912.35","9.83","3.01","60.0","63.33","36.67","0.0","0.0","20.0","0.0","0.0","364.78","912.35",""
"Samoa","Romania","2015.0","Import","1.0","0.03","1.14","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","0.11","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","0.11","0.0",""
"Samoa","South Asia","2015.0","Import","130.0","4.53","946.58","0.26","10.25","7.1","175.0","86.29","13.71","0.0","0.0","20.0","0.0","0.0","1327.8","444.8","10.53","7.1","166.0","87.95","12.05","0.0","0.0","20.0","0.0","0.0","1327.8","444.8",""
"Samoa","Saudi Arabia","2015.0","Import","1.0","0.03","0.33","0.0","12.0","8.22","3.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","12.23","0.0","12.0","8.22","3.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","12.23","0.0",""
"Samoa","Singapore","2015.0","Import","254.0","8.85","57588.62","15.54","21.54","12.72","343.0","93.0","5.25","0.58","1.17","2879.27","0.0","140.37","94831.25","1349.53","21.54","12.72","343.0","93.0","5.25","0.58","1.17","2879.27","0.0","140.37","94831.25","1349.53",""
"Samoa","Solomon Islands","2015.0","Import","39.0","1.36","89.74","0.02","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","10.01","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","10.01","0.0",""
"Samoa","El Salvador","2015.0","Import","1.0","0.03","9.31","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","25.78","0.0","8.0","8.0","1.0","100.0","0.0","0.0","0.0","8.0","8.0","0.0","25.78","0.0",""
"Samoa","Sub-Saharan Africa","2015.0","Import","22.0","0.77","159.85","0.04","10.02","9.11","23.0","86.96","13.04","0.0","0.0","20.0","0.0","0.0","135.64","3.98","10.02","9.11","23.0","86.96","13.04","0.0","0.0","20.0","0.0","0.0","135.64","3.98",""
"Samoa","Suriname","2015.0","Import","2.0","0.07","1.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Slovak Republic","2015.0","Import","3.0","0.1","92.28","0.02","12.0","10.13","3.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","3.42","0.0","12.0","10.13","3.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","3.42","0.0",""
"Samoa","Sweden","2015.0","Import","9.0","0.31","555.41","0.15","11.65","8.35","27.0","74.07","3.7","0.0","22.22","30.0","0.0","0.0","1261.61","2.19","11.65","8.35","27.0","74.07","3.7","0.0","22.22","30.0","0.0","0.0","1261.61","2.19",""
"Samoa","Seychelles","2015.0","Import","1.0","0.03","1.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Thailand","2015.0","Import","218.0","7.6","10401.49","2.81","12.45","5.28","256.0","90.23","9.77","0.0","0.0","20.0","0.0","0.0","5063.15","4771.27","12.45","5.28","256.0","90.23","9.77","0.0","0.0","20.0","0.0","0.0","5063.15","4771.27",""
"Samoa","Tonga","2015.0","Import","6.0","0.21","246.22","0.07","14.75","11.21","19.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","400.16","0.0","14.75","11.21","19.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","400.16","0.0",""
"Samoa","Trinidad and Tobago","2015.0","Import","1.0","0.03","3.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Turkey","2015.0","Import","25.0","0.87","425.76","0.11","13.33","4.54","4.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","16.26","55.43","13.33","4.54","4.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","16.26","55.43",""
"Samoa","Unspecified","2015.0","Import","1.0","0.03","54.47","0.01","30.0","30.0","3.0","0.0","0.0","0.0","100.0","30.0","30.0","0.0","5.75","0.0","30.0","30.0","3.0","0.0","0.0","0.0","100.0","30.0","30.0","0.0","5.75","0.0",""
"Samoa","Uruguay","2015.0","Import","1.0","0.03","6.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","United States","2015.0","Import","1490.0","51.93","37301.98","10.07","14.53","12.8","1709.0","92.57","4.74","0.18","2.52","2879.27","0.0","9.18","38210.13","2386.15","14.53","12.8","1709.0","92.57","4.74","0.18","2.52","2879.27","0.0","9.18","38210.13","2386.15",""
"Samoa","Uzbekistan","2015.0","Import","1.0","0.03","6.43","0.0","13.0","13.0","9.0","66.67","33.33","0.0","0.0","50.0","0.0","0.0","3.01","0.0","13.0","13.0","9.0","66.67","33.33","0.0","0.0","50.0","0.0","0.0","3.01","0.0",""
"Samoa","St. Vincent and the Grenadines","2015.0","Import","1.0","0.03","0.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","Vietnam","2015.0","Import","62.0","2.16","3942.05","1.06","12.25","10.2","50.0","92.0","8.0","0.0","0.0","20.0","0.0","0.0","1327.32","211.06","12.25","10.2","50.0","92.0","8.0","0.0","0.0","20.0","0.0","0.0","1327.32","211.06",""
"Samoa","Vanuatu","2015.0","Import","2.0","0.07","14.57","0.0","14.0","14.48","5.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","13.34","0.0","14.0","14.48","5.0","100.0","0.0","0.0","0.0","20.0","8.0","0.0","13.34","0.0",""
"Samoa"," World","2015.0","Import","2869.0","100.0","370582.37","100.0","13.06","10.28","11459.0","92.45","5.45","0.24","1.86","2879.27","0.0","1050.29","338687.58","48753.09","11.88","10.28","5483.0","95.57","3.48","0.08","0.38","2879.27","0.0","1050.29","338687.58","48753.09","1.0"
