"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"South Africa","Afghanistan","2015.0","Import","31.0","0.7","56.77","0.0","8.87","2.92","59.0","47.46","49.15","1.69","1.69","45.0","0.0","0.19","10.14","45.06","8.87","2.92","59.0","47.46","49.15","1.69","1.69","45.0","0.0","0.19","10.14","45.06",""
"South Africa","Angola","2015.0","Import","198.0","4.49","1211088.72","1.52","0.14","0.0","382.0","0.0","99.74","0.0","0.26","28.59","0.0","0.0","0.04","1211056.2","6.56","0.0","382.0","42.93","55.24","0.52","1.31","45.0","0.0","34.14","448.39","1210607.85","1.0"
"South Africa","Anguila","2015.0","Import","3.0","0.07","0.54","0.0","3.33","1.7","4.0","25.0","75.0","0.0","0.0","20.0","0.0","0.0","0.09","0.45","3.33","1.7","4.0","25.0","75.0","0.0","0.0","20.0","0.0","0.0","0.09","0.45",""
"South Africa","Albania","2015.0","Import","67.0","1.52","886.77","0.0","32.58","31.17","115.0","79.13","12.17","0.87","7.83","45.0","0.0","0.12","872.54","7.37","32.58","31.17","115.0","79.13","12.17","0.87","7.83","45.0","0.0","0.12","872.54","7.37",""
"South Africa","Andorra","2015.0","Import","5.0","0.11","1.96","0.0","0.6","0.22","21.0","19.05","80.95","0.0","0.0","20.0","0.0","0.0","0.14","1.82","0.6","0.22","21.0","19.05","80.95","0.0","0.0","20.0","0.0","0.0","0.14","1.82",""
"South Africa","United Arab Emirates","2015.0","Import","1076.0","24.4","879560.96","1.11","12.45","2.2","1996.0","54.76","41.98","0.75","2.51","328.8","0.0","213324.02","303543.86","573812.39","12.45","2.2","1996.0","54.76","41.98","0.75","2.51","328.8","0.0","213324.02","303543.86","573812.39",""
"South Africa","Argentina","2015.0","Import","367.0","8.32","580938.61","0.73","8.61","7.17","808.0","52.1","45.92","0.25","1.73","82.0","0.0","1788.04","423222.43","125610.74","8.61","7.17","808.0","52.1","45.92","0.25","1.73","82.0","0.0","1788.04","423222.43","125610.74",""
"South Africa","Armenia","2015.0","Import","19.0","0.43","39.93","0.0","17.45","15.49","42.0","66.67","30.95","2.38","0.0","45.0","0.0","1.22","32.32","7.61","17.45","15.49","42.0","66.67","30.95","2.38","0.0","45.0","0.0","1.22","32.32","7.61",""
"South Africa","American Samoa","2015.0","Import","8.0","0.18","2.26","0.0","9.11","9.87","27.0","59.26","40.74","0.0","0.0","30.0","0.0","0.0","1.63","0.63","9.11","9.87","27.0","59.26","40.74","0.0","0.0","30.0","0.0","0.0","1.63","0.63",""
"South Africa","Antarctica","2015.0","Import","8.0","0.18","126.9","0.0","2.6","0.03","16.0","25.0","68.75","6.25","0.0","20.0","0.0","0.14","0.33","126.57","2.6","0.03","16.0","25.0","68.75","6.25","0.0","20.0","0.0","0.14","0.33","126.57",""
