"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Zambia","Afghanistan","2015.0","Import","1.0","0.03","1.65","0.0","18.33","18.33","3.0","100.0","0.0","0.0","0.0","25.0","5.0","0.0","1.65","0.0","18.33","18.33","3.0","100.0","0.0","0.0","0.0","25.0","5.0","0.0","1.65","0.0",""
"Zambia","Angola","2015.0","Import","43.0","1.09","387.29","0.0","0.0","0.0","49.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","384.54","12.91","12.24","49.0","69.39","24.49","6.12","0.0","25.0","0.0","10.8","249.31","135.24","1.0"
"Zambia","Anguila","2015.0","Import","1.0","0.03","0.71","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.71","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.71","0.0",""
"Zambia","Albania","2015.0","Import","2.0","0.05","5.95","0.0","25.0","25.0","2.0","50.0","0.0","50.0","0.0","25.0","25.0","2.43","5.95","0.0","25.0","25.0","2.0","50.0","0.0","50.0","0.0","25.0","25.0","2.43","5.95","0.0",""
"Zambia","Andorra","2015.0","Import","29.0","0.74","79.7","0.0","15.34","9.66","33.0","81.82","15.15","3.03","0.0","25.0","0.0","2.71","42.65","37.06","15.34","9.66","33.0","81.82","15.15","3.03","0.0","25.0","0.0","2.71","42.65","37.06",""
"Zambia","United Arab Emirates","2015.0","Import","1806.0","45.84","174488.03","2.07","14.53","4.87","2247.0","73.16","24.52","2.31","0.0","30.0","0.0","11127.71","56948.4","117293.47","14.53","4.87","2247.0","73.16","24.52","2.31","0.0","30.0","0.0","11127.71","56948.4","117293.47",""
"Zambia","Argentina","2015.0","Import","31.0","0.79","1114.88","0.01","14.67","14.79","35.0","80.0","14.29","5.71","0.0","25.0","0.0","408.96","1037.31","77.56","14.67","14.79","35.0","80.0","14.29","5.71","0.0","25.0","0.0","408.96","1037.31","77.56",""
"Zambia","Australia","2015.0","Import","506.0","12.84","53248.53","0.63","14.79","9.7","622.0","78.14","19.77","2.09","0.0","25.0","0.0","427.54","38604.29","14402.91","14.79","9.7","622.0","78.14","19.77","2.09","0.0","25.0","0.0","427.54","38604.29","14402.91",""
"Zambia","Austria","2015.0","Import","199.0","5.05","14445.32","0.17","14.86","8.14","249.0","78.71","19.68","1.61","0.0","25.0","0.0","28.78","8041.14","6404.17","14.86","8.14","249.0","78.71","19.68","1.61","0.0","25.0","0.0","28.78","8041.14","6404.17",""
"Zambia","Azerbaijan","2015.0","Import","16.0","0.41","48.16","0.0","10.71","5.27","17.0","82.35","11.76","5.88","0.0","25.0","0.0","0.15","17.79","25.46","10.71","5.27","17.0","82.35","11.76","5.88","0.0","25.0","0.0","0.15","17.79","25.46",""
"Zambia","Burundi","2015.0","Import","5.0","0.13","27.23","0.0","10.0","14.37","5.0","40.0","0.0","60.0","0.0","15.0","5.0","18.92","21.73","0.0","10.0","14.37","5.0","40.0","0.0","60.0","0.0","15.0","5.0","18.92","21.73","0.0",""
"Zambia","Belgium","2015.0","Import","526.0","13.35","35390.06","0.42","14.55","8.02","674.0","76.71","21.07","2.23","0.0","25.0","0.0","1096.94","21290.41","13887.56","14.55","8.02","674.0","76.71","21.07","2.23","0.0","25.0","0.0","1096.94","21290.41","13887.56",""
"Zambia","Benin","2015.0","Import","1.0","0.03","1.02","0.0","","","1.0","0.0","0.0","100.0","0.0","","","1.02","1.02","0.0","","","1.0","0.0","0.0","100.0","0.0","","","1.02","1.02","0.0",""
"Zambia","Burkina Faso","2015.0","Import","1.0","0.03","0.74","0.0","","","1.0","0.0","0.0","100.0","0.0","","","0.74","0.74","0.0","","","1.0","0.0","0.0","100.0","0.0","","","0.74","0.74","0.0",""
"Zambia","Bangladesh","2015.0","Import","61.0","1.55","985.8","0.01","23.63","24.72","70.0","95.71","4.29","0.0","0.0","25.0","0.0","0.0","977.01","8.79","23.63","24.72","70.0","95.71","4.29","0.0","0.0","25.0","0.0","0.0","977.01","8.79",""
"Zambia","Bulgaria","2015.0","Import","32.0","0.81","401.7","0.0","15.73","9.32","43.0","74.42","16.28","9.3","0.0","25.0","0.0","3.35","244.63","157.07","15.73","9.32","43.0","74.42","16.28","9.3","0.0","25.0","0.0","3.35","244.63","157.07",""
"Zambia","Bahrain","2015.0","Import","18.0","0.46","7554.14","0.09","13.89","23.42","20.0","70.0","30.0","0.0","0.0","25.0","0.0","0.0","7404.59","149.55","13.89","23.42","20.0","70.0","30.0","0.0","0.0","25.0","0.0","0.0","7404.59","149.55",""
"Zambia","Bahamas, The","2015.0","Import","1.0","0.03","231.28","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","231.28","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","231.28",""
"Zambia","Belarus","2015.0","Import","1.0","0.03","0.89","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.89","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.89","0.0",""
"Zambia","Belize","2015.0","Import","4.0","0.1","0.46","0.0","13.75","23.42","5.0","80.0","20.0","0.0","0.0","25.0","0.0","0.0","0.44","0.02","13.75","23.42","5.0","80.0","20.0","0.0","0.0","25.0","0.0","0.0","0.44","0.02",""
"Zambia","Bermuda","2015.0","Import","3.0","0.08","517.67","0.01","20.0","15.01","3.0","66.67","0.0","33.33","0.0","25.0","15.0","438.77","517.67","0.0","20.0","15.01","3.0","66.67","0.0","33.33","0.0","25.0","15.0","438.77","517.67","0.0",""
"Zambia","Bolivia","2015.0","Import","1.0","0.03","0.83","0.0","25.0","25.0","2.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.83","0.0","25.0","25.0","2.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.83","0.0",""
"Zambia","Brazil","2015.0","Import","187.0","4.75","19841.83","0.24","13.75","20.89","222.0","77.03","21.17","1.8","0.0","25.0","0.0","327.46","17090.58","2718.03","13.75","20.89","222.0","77.03","21.17","1.8","0.0","25.0","0.0","327.46","17090.58","2718.03",""
"Zambia","Barbados","2015.0","Import","9.0","0.23","6.51","0.0","11.11","7.29","12.0","66.67","25.0","8.33","0.0","25.0","0.0","1.61","3.94","2.57","11.11","7.29","12.0","66.67","25.0","8.33","0.0","25.0","0.0","1.61","3.94","2.57",""
"Zambia","Brunei","2015.0","Import","1.0","0.03","0.99","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.99","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.99","0.0",""
"Zambia","Bhutan","2015.0","Import","2.0","0.05","17.92","0.0","25.0","25.0","3.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","17.92","0.0","25.0","25.0","3.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","17.92","0.0",""
"Zambia","Botswana","2015.0","Import","594.0","15.08","17538.99","0.21","0.17","0.0","724.0","0.83","99.17","0.0","0.0","25.0","0.0","0.0","1.72","17339.37","14.39","9.41","724.0","72.79","23.34","3.87","0.0","30.0","0.0","928.69","12363.54","4977.55","1.0"
"Zambia","Canada","2015.0","Import","341.0","8.65","28727.26","0.34","12.33","4.39","422.0","68.96","30.09","0.95","0.0","25.0","0.0","901.47","10013.74","18694.36","12.33","4.39","422.0","68.96","30.09","0.95","0.0","25.0","0.0","901.47","10013.74","18694.36",""
"Zambia","Switzerland","2015.0","Import","441.0","11.19","86338.4","1.03","15.83","13.45","528.0","76.33","22.54","1.14","0.0","25.0","0.0","322.7","69168.41","17151.7","15.83","13.45","528.0","76.33","22.54","1.14","0.0","25.0","0.0","322.7","69168.41","17151.7",""
"Zambia","Chile","2015.0","Import","57.0","1.45","23031.95","0.27","14.21","13.37","70.0","80.0","20.0","0.0","0.0","25.0","0.0","0.0","12528.68","10503.27","14.21","13.37","70.0","80.0","20.0","0.0","0.0","25.0","0.0","0.0","12528.68","10503.27",""
"Zambia","China","2015.0","Import","2609.0","66.22","689077.67","8.18","13.63","8.19","3204.0","69.66","28.53","1.81","0.0","30.0","0.0","23417.12","339849.15","348884.64","13.63","8.19","3204.0","69.66","28.53","1.81","0.0","30.0","0.0","23417.12","339849.15","348884.64",""
"Zambia","Cote d'Ivoire","2015.0","Import","14.0","0.36","206.71","0.0","21.79","24.3","19.0","73.68","5.26","21.05","0.0","25.0","0.0","13.5","202.65","4.06","21.79","24.3","19.0","73.68","5.26","21.05","0.0","25.0","0.0","13.5","202.65","4.06",""
"Zambia","Cameroon","2015.0","Import","5.0","0.13","41.68","0.0","16.0","9.88","5.0","80.0","20.0","0.0","0.0","25.0","0.0","0.0","21.89","19.79","16.0","9.88","5.0","80.0","20.0","0.0","0.0","25.0","0.0","0.0","21.89","19.79",""
"Zambia","Congo, Rep.","2015.0","Import","1.0","0.03","0.33","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.33","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.33",""
"Zambia","Colombia","2015.0","Import","14.0","0.36","833.93","0.01","13.04","4.93","16.0","62.5","37.5","0.0","0.0","25.0","0.0","0.0","818.03","15.91","13.04","4.93","16.0","62.5","37.5","0.0","0.0","25.0","0.0","0.0","818.03","15.91",""
"Zambia","Costa Rica","2015.0","Import","11.0","0.28","222.39","0.0","16.29","16.22","20.0","95.0","5.0","0.0","0.0","25.0","0.0","0.0","222.36","0.04","16.29","16.22","20.0","95.0","5.0","0.0","0.0","25.0","0.0","0.0","222.36","0.04",""
"Zambia","Curaçao","2015.0","Import","2.0","0.05","6.78","0.0","10.0","7.89","2.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","6.78","0.0","10.0","7.89","2.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","6.78","0.0",""
"Zambia","Cyprus","2015.0","Import","29.0","0.74","156.33","0.0","11.03","6.57","31.0","51.61","45.16","3.23","0.0","25.0","0.0","0.02","41.72","112.2","11.03","6.57","31.0","51.61","45.16","3.23","0.0","25.0","0.0","0.02","41.72","112.2",""
"Zambia","Czech Republic","2015.0","Import","115.0","2.92","4313.61","0.05","12.57","15.73","148.0","70.27","27.7","2.03","0.0","25.0","0.0","34.75","2819.69","1493.92","12.57","15.73","148.0","70.27","27.7","2.03","0.0","25.0","0.0","34.75","2819.69","1493.92",""
"Zambia","Germany","2015.0","Import","882.0","22.39","71153.48","0.85","13.07","4.35","1115.0","70.76","26.91","2.33","0.0","25.0","0.0","1907.82","24386.97","46712.25","13.07","4.35","1115.0","70.76","26.91","2.33","0.0","25.0","0.0","1907.82","24386.97","46712.25",""
"Zambia","Djibouti","2015.0","Import","1.0","0.03","15.64","0.0","12.5","12.5","3.0","33.33","33.33","33.33","0.0","25.0","0.0","15.64","15.64","0.0","12.5","12.5","3.0","33.33","33.33","33.33","0.0","25.0","0.0","15.64","15.64","0.0",""
"Zambia","Denmark","2015.0","Import","192.0","4.87","25273.15","0.3","11.72","1.78","254.0","59.84","35.83","4.33","0.0","25.0","0.0","153.93","3482.83","21780.99","11.72","1.78","254.0","59.84","35.83","4.33","0.0","25.0","0.0","153.93","3482.83","21780.99",""
"Zambia","Dominican Republic","2015.0","Import","3.0","0.08","0.75","0.0","21.67","18.71","3.0","100.0","0.0","0.0","0.0","25.0","15.0","0.0","0.75","0.0","21.67","18.71","3.0","100.0","0.0","0.0","0.0","25.0","15.0","0.0","0.75","0.0",""
"Zambia","Algeria","2015.0","Import","3.0","0.08","0.84","0.0","10.0","1.67","3.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","0.12","0.72","10.0","1.67","3.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","0.12","0.72",""
"Zambia","East Asia & Pacific","2015.0","Import","2790.0","70.81","1272056.5","15.11","14.04","7.94","7497.0","70.71","26.69","2.6","0.0","30.0","0.0","187384.41","695789.15","575564.24","13.61","7.94","3488.0","68.86","29.04","0.97","0.0","30.0","0.0","187384.41","695789.15","575564.24",""
