"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Zimbabwe","Afghanistan","2015.0","Import","13.0","0.33","17.75","0.0","12.87","4.43","12.0","58.33","33.33","0.0","8.33","54.43","0.0","0.0","4.15","10.41","12.87","4.43","12.0","58.33","33.33","0.0","8.33","54.43","0.0","0.0","4.15","10.41",""
"Zimbabwe","Angola","2015.0","Import","19.0","0.48","36.37","0.0","1.39","0.07","30.0","3.33","96.67","0.0","0.0","25.0","0.0","0.0","0.01","2.43","76.3","39.89","30.0","63.33","6.67","0.0","30.0","824.53","0.0","0.0","2.44","0.0","1.0"
"Zimbabwe","Andorra","2015.0","Import","46.0","1.16","61.57","0.0","16.1","13.04","54.0","92.59","5.56","0.0","1.85","65.0","0.0","0.0","60.53","0.88","16.1","13.04","54.0","92.59","5.56","0.0","1.85","65.0","0.0","0.0","60.53","0.88",""
"Zimbabwe","United Arab Emirates","2015.0","Import","1423.0","35.79","79700.98","1.33","20.34","10.41","1896.0","82.17","9.49","0.42","7.91","824.53","0.0","129.24","65701.02","13770.1","20.34","10.41","1896.0","82.17","9.49","0.42","7.91","824.53","0.0","129.24","65701.02","13770.1",""
"Zimbabwe","Argentina","2015.0","Import","9.0","0.23","110.33","0.0","6.67","5.17","10.0","70.0","0.0","30.0","0.0","10.0","5.0","20.48","109.88","0.0","6.67","5.17","10.0","70.0","0.0","30.0","0.0","10.0","5.0","20.48","109.88","0.0",""
"Zimbabwe","American Samoa","2015.0","Import","1.0","0.03","0.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","Antigua and Barbuda","2015.0","Import","2.0","0.05","0.41","0.0","2.72","1.46","3.0","0.0","66.67","0.0","33.33","10.87","0.0","0.0","0.11","0.3","2.72","1.46","3.0","0.0","66.67","0.0","33.33","10.87","0.0","0.0","0.11","0.3",""
"Zimbabwe","Australia","2015.0","Import","427.0","10.74","1783.93","0.03","23.14","15.95","569.0","81.72","8.79","0.35","9.14","824.53","0.0","11.0","1382.3","160.29","23.14","15.95","569.0","81.72","8.79","0.35","9.14","824.53","0.0","11.0","1382.3","160.29",""
"Zimbabwe","Austria","2015.0","Import","150.0","3.77","1309.38","0.02","17.71","8.2","228.0","85.53","10.09","0.0","4.39","111.84","0.0","0.0","595.87","575.33","17.71","8.2","228.0","85.53","10.09","0.0","4.39","111.84","0.0","0.0","595.87","575.33",""
"Zimbabwe","Azerbaijan","2015.0","Import","2.0","0.05","1.74","0.0","29.17","25.36","4.0","100.0","0.0","0.0","0.0","40.0","10.0","0.0","1.74","0.0","29.17","25.36","4.0","100.0","0.0","0.0","0.0","40.0","10.0","0.0","1.74","0.0",""
"Zimbabwe","Burundi","2015.0","Import","1.0","0.03","0.12","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.12","0.0","1.0"
"Zimbabwe","Belgium","2015.0","Import","446.0","11.22","44473.73","0.74","14.77","6.04","633.0","87.52","10.27","0.16","2.05","85.0","0.0","0.03","40513.21","3888.23","14.77","6.04","633.0","87.52","10.27","0.16","2.05","85.0","0.0","0.03","40513.21","3888.23",""
"Zimbabwe","Benin","2015.0","Import","1.0","0.03","0.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","Bangladesh","2015.0","Import","26.0","0.65","464.77","0.01","39.93","42.77","29.0","31.03","3.45","0.0","65.52","61.0","0.0","0.0","464.77","0.0","39.93","42.77","29.0","31.03","3.45","0.0","65.52","61.0","0.0","0.0","464.77","0.0",""
